response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,-11.4375,-11.4375,-10.125,-11.875,-11.8125,-10.6875,-11.4375,-11.5,-10.375,-11.8125,-11.75,-10.625,-12.0625,-12.1875,-11.1875,-11.75,-11.6875,-10.625,-12.125,-12,-11.3125,-12.625,-12.4375,-11.6875,-12.25,-12.375,-11.375,-7.3125,-7.125,-6.75,-8.0625,-7.78125,-7.28125,-7.96875,-7.8125,-7.125,-7.75,-7.53125,-7.21875,-8.25,-8.3125,-7.90625,-8.1875,-8,-7.59375,-7.46875,-7.46875,-6.96875,-7.78125,-7.625,-7.0625,-7.75,-7.75,-7
abhored,-11.3125,-11.625,-10.375,-11.75,-11.875,-11,-11.625,-11.5625,-10.5,-11.5625,-11.5625,-10.6875,-11.8125,-12.0625,-11.125,-11.5625,-11.5625,-10.6875,-11.9375,-12,-11.25,-12.375,-12.375,-11.75,-12,-12,-11.375,-7.15625,-7.25,-6.75,-7.6875,-7.75,-7.15625,-7.5625,-7.625,-7.03125,-7.5625,-7.40625,-7.25,-8.0625,-7.96875,-7.8125,-8.0625,-7.90625,-7.53125,-7.46875,-7.375,-6.9375,-7.6875,-7.6875,-7.03125,-7.71875,-7.71875,-7.09375
abhors,-11.0625,-11.0625,-10.0625,-11.1875,-11.5625,-10.6875,-11.125,-11.125,-10.25,-11.3125,-11.375,-10.375,-11.4375,-11.625,-11,-11.25,-11.3125,-10.375,-11.6875,-11.75,-10.8125,-11.875,-12.0625,-11.3125,-11.6875,-11.8125,-11.125,-8.8125,-8.75,-8,-9.0625,-9.125,-8.3125,-9.1875,-9.125,-8.3125,-9.1875,-9.0625,-8.5,-9.4375,-9.5,-8.8125,-9.375,-9.4375,-8.6875,-9.0625,-9.125,-8.3125,-9,-8.9375,-8.375,-9.125,-9.25,-8.4375
abstinance,-10.4375,-10.5,-9.1875,-10.4375,-10.5,-9.5625,-10.0625,-10.125,-9.0625,-10.3125,-10.3125,-9.3125,-10.4375,-10.5,-9.8125,-10.1875,-10.3125,-9.25,-10.4375,-10.6875,-9.9375,-10.625,-10.625,-10.125,-10.5,-10.5,-9.875,-10.0625,-10.125,-9.25,-10.125,-10.25,-9.375,-10.25,-10.25,-9.5,-11.3125,-11.3125,-10.875,-11.5,-11.25,-10.875,-11.3125,-11.0625,-10.875,-10.625,-10.5625,-10,-10.4375,-10.3125,-9.6875,-10.625,-10.625,-10
abstinence,-10.4375,-10.5,-9.1875,-10.5625,-10.625,-9.625,-10,-10,-9.0625,-10.25,-10.375,-9.375,-10.625,-10.5625,-9.9375,-10.0625,-10.25,-9.25,-10.625,-10.5625,-9.9375,-10.8125,-10.8125,-10.1875,-10.625,-10.3125,-10,-9.9375,-10.0625,-9.125,-10.1875,-10.25,-9.375,-10.1875,-10.125,-9.25,-11.25,-11.125,-10.8125,-11.3125,-11.25,-10.875,-11.0625,-10.9375,-10.75,-10.375,-10.5,-9.875,-10.25,-10.25,-9.625,-10.5,-10.4375,-9.8125
abused,-14.1875,-14.3125,-12.75,-14.125,-14,-13.3125,-13.8125,-13.875,-13,-13.3125,-13.3125,-12.6875,-12.875,-12.875,-12.1875,-12.625,-12.625,-12.0625,-13.375,-13.3125,-12.6875,-12.875,-13.0625,-12.5625,-12.8125,-12.875,-12.4375,-7.40625,-7.1875,-7,-7.59375,-7.4375,-6.71875,-7.75,-7.625,-7.09375,-7.65625,-7.34375,-7.34375,-7.59375,-7.40625,-7.21875,-7.71875,-7.4375,-7.5,-7.34375,-7.15625,-7,-7.0625,-7.09375,-6.46875,-7.59375,-7.59375,-7.125
abuser,-14.5625,-14.5,-13.125,-14.5625,-14.625,-13.5625,-14.625,-14.6875,-13.5,-14.25,-14.1875,-13.3125,-13.9375,-14,-13.25,-13.9375,-14.0625,-13.1875,-14.0625,-14.125,-13.1875,-13.9375,-14.125,-13.4375,-14,-14.125,-13.3125,-8.3125,-8.3125,-7.5625,-8.125,-8,-7.25,-8.4375,-8.3125,-7.6875,-8.3125,-8.0625,-7.9375,-8,-7.8125,-7.5625,-8.3125,-8.1875,-8,-8.5,-8.3125,-7.6875,-7.8125,-7.78125,-7.1875,-8.4375,-8.375,-7.625
abusers,-14.625,-14.8125,-13.625,-14.625,-14.75,-13.6875,-14.75,-14.875,-13.6875,-14.5,-14.625,-13.5,-14.25,-14.1875,-13,-14.125,-14.1875,-13.25,-14.375,-14.5,-13.375,-13.875,-14,-13.625,-14.0625,-14.3125,-13.6875,-8.25,-8.25,-7.59375,-8.0625,-8.0625,-7.3125,-8.4375,-8.375,-7.625,-8.5,-8.5,-8,-8.0625,-8,-7.5,-8.4375,-8.3125,-8.0625,-8.5,-8.375,-7.8125,-7.90625,-7.875,-7.25,-8.5,-8.5625,-7.71875
abuses,-13.6875,-13.875,-12.4375,-13.75,-13.8125,-12.8125,-13.6875,-13.625,-12.8125,-13.3125,-13.25,-12.375,-12.875,-12.8125,-12.0625,-12.8125,-12.875,-11.875,-13.1875,-13.1875,-12.375,-12.875,-13,-12.3125,-12.9375,-12.9375,-12.4375,-7.75,-7.65625,-7.625,-7.46875,-7.46875,-7,-7.53125,-7.46875,-7.375,-7.53125,-7.375,-7.5,-7.21875,-7.3125,-7.09375,-7.3125,-7.3125,-7.25,-7.375,-7.40625,-7.3125,-6.90625,-6.96875,-6.84375,-7.40625,-7.40625,-7.09375
abusing,-14.3125,-14.1875,-13.6875,-14.75,-14.875,-13.875,-14.375,-14.3125,-13.75,-14.25,-14.25,-13.4375,-14.3125,-14.3125,-13.625,-13.875,-13.875,-13.1875,-14,-14.25,-13.5625,-14,-14.125,-13.9375,-13.875,-13.875,-13.5625,-6.6875,-6.78125,-6.6875,-6.875,-6.8125,-6.65625,-6.84375,-6.9375,-6.46875,-6.8125,-6.625,-6.59375,-6.78125,-6.6875,-6.6875,-6.90625,-6.8125,-6.65625,-6.78125,-6.8125,-6.75,-6.5625,-6.5,-6.375,-6.90625,-7,-6.53125
ache,-9.9375,-10,-9.0625,-10.1875,-10.25,-9.5625,-9.875,-9.875,-9.25,-10,-9.9375,-9.25,-10.0625,-10.1875,-9.625,-9.6875,-9.9375,-9.125,-10.3125,-10.4375,-9.75,-10.4375,-10.625,-10.0625,-10.1875,-10.375,-9.8125,-6.9375,-6.875,-6,-6.875,-6.65625,-5.875,-7.34375,-7.15625,-6.53125,-8.5625,-8.3125,-7.90625,-8.25,-8.125,-7.625,-8.375,-8.375,-8.0625,-7.34375,-7.21875,-6.625,-6.65625,-6.59375,-6.0625,-7.34375,-7.34375,-6.875
ached,-10.1875,-10.3125,-9.5,-10.125,-10.375,-9.6875,-10.3125,-10.3125,-9.5625,-10.3125,-10.5,-9.5625,-10.4375,-10.5625,-9.8125,-10.375,-10.5,-9.6875,-10.375,-10.5,-9.875,-10.375,-10.6875,-10.0625,-10.4375,-10.4375,-10.125,-8.9375,-9,-8.1875,-9,-9.125,-8.25,-9.3125,-9.25,-8.8125,-9.875,-9.9375,-9.5625,-9.9375,-9.875,-9.5,-10.3125,-10.125,-9.8125,-9.3125,-9.25,-8.875,-8.875,-9.0625,-8.5625,-9.375,-9.6875,-9.1875
aches,-10.75,-10.6875,-9.875,-10.8125,-11.0625,-10.1875,-10.8125,-10.8125,-10,-10.8125,-11.125,-10.0625,-10.8125,-11.0625,-10.4375,-10.75,-10.9375,-10.0625,-11,-11.1875,-10.625,-11.3125,-11.375,-11.125,-11.125,-11.125,-10.8125,-8.375,-8.4375,-7.75,-8.375,-8.25,-7.65625,-8.9375,-8.8125,-8.125,-9.9375,-9.875,-9.375,-9.625,-9.5625,-9,-9.8125,-9.75,-9.375,-9.0625,-8.875,-8.5625,-8.5,-8.4375,-8.0625,-9,-9.0625,-8.625
aching,-9.875,-9.9375,-9.375,-10.25,-10.125,-9.6875,-10,-10.125,-9.375,-10,-10,-9.4375,-10.1875,-10.25,-9.6875,-9.75,-9.875,-9.375,-10.5,-10.5,-10.0625,-10.6875,-10.6875,-10.375,-10.6875,-10.625,-10.25,-7.03125,-7.125,-6.46875,-6.84375,-6.84375,-6.1875,-7.59375,-7.59375,-7,-8.8125,-8.6875,-8.125,-8.4375,-8.3125,-7.90625,-8.875,-8.75,-8.3125,-7.625,-7.28125,-7.03125,-6.90625,-6.8125,-6.375,-7.75,-7.65625,-7.03125
achingly,-10.3125,-10.3125,-9.6875,-10.875,-10.9375,-10.25,-10.5625,-10.4375,-9.9375,-10.75,-10.6875,-10.1875,-11.375,-11.375,-10.5625,-10.8125,-10.8125,-10.375,-10.9375,-10.9375,-10.375,-11.5,-11.5,-11.0625,-11.1875,-11.0625,-10.875,-9.4375,-9.375,-8.75,-9.8125,-9.625,-8.875,-10.1875,-10.0625,-9.375,-10.625,-10.5,-10.25,-10.875,-10.6875,-10.5,-10.9375,-10.875,-10.75,-10.0625,-9.8125,-9.625,-10.0625,-10.0625,-9.125,-10.375,-10.5625,-9.875
acquiesce,-10.3125,-10.3125,-9.4375,-10.8125,-10.9375,-10.1875,-10.5625,-10.5,-9.625,-10.625,-10.875,-10,-11.3125,-11.5,-10.9375,-10.875,-11,-10.3125,-10.9375,-10.875,-10.4375,-11.5625,-11.5625,-11.3125,-11.1875,-11,-10.75,-10.1875,-10.25,-9.5,-10.4375,-10.5,-9.4375,-10.5,-10.3125,-9.5625,-11.125,-10.875,-10.6875,-11.1875,-10.9375,-10.625,-11.0625,-10.8125,-10.5,-10.5,-10.5625,-9.9375,-10.4375,-10.375,-9.625,-10.5625,-10.625,-9.9375
acquiesced,-10.625,-10.6875,-9.8125,-11.125,-11.1875,-10.5625,-10.875,-10.9375,-10,-11.0625,-11.125,-10.375,-11.5,-11.6875,-11,-11.1875,-11.375,-10.5,-11.3125,-11.3125,-10.875,-11.625,-11.75,-11.3125,-11.5,-11.625,-11.125,-10.4375,-10.5625,-9.8125,-10.625,-10.625,-9.75,-10.8125,-10.75,-9.9375,-11.375,-11.3125,-10.8125,-11.5,-11.4375,-11.0625,-11.4375,-11.25,-10.875,-10.9375,-10.8125,-10.375,-10.6875,-10.75,-10,-11.125,-11.125,-10.5
acquiescent,-10.3125,-10.375,-9.4375,-10.6875,-10.6875,-10,-10.5625,-10.6875,-9.6875,-10.6875,-10.9375,-9.9375,-11.1875,-11.375,-10.6875,-11,-10.9375,-10.1875,-11,-11,-10.4375,-11.3125,-11.3125,-11,-11.1875,-11.125,-10.75,-10.125,-10.125,-9.4375,-10.1875,-10.125,-9.25,-10.1875,-10.0625,-9.375,-10.8125,-10.875,-10.4375,-10.75,-10.5625,-10.3125,-10.625,-10.6875,-10.3125,-10.4375,-10.375,-9.8125,-10.1875,-10.1875,-9.5625,-10.5,-10.4375,-9.75
acquiesces,-11,-11.0625,-10.0625,-11.4375,-11.5625,-10.875,-11.25,-11.375,-10.25,-11.375,-11.5,-10.5625,-11.9375,-12.0625,-11.25,-11.625,-11.75,-10.8125,-11.6875,-11.5,-10.9375,-12,-12,-11.6875,-11.9375,-11.6875,-11.3125,-10.5625,-10.5,-9.875,-10.75,-10.75,-9.9375,-10.8125,-10.75,-10.0625,-11.4375,-11.5,-11.0625,-11.5625,-11.5625,-11,-11.5625,-11.375,-11,-10.875,-10.875,-10.5,-10.9375,-10.9375,-10.1875,-11.3125,-11.25,-10.6875
acquiescing,-10.1875,-10.1875,-9.375,-10.6875,-10.75,-10,-10.375,-10.375,-9.5625,-10.6875,-10.8125,-10.0625,-11.25,-11.4375,-10.8125,-10.75,-11.0625,-10.3125,-10.9375,-10.9375,-10.4375,-11.375,-11.4375,-11,-11.1875,-11.0625,-10.625,-9.375,-9.375,-8.5,-9.3125,-9.4375,-8.5,-9.375,-9.25,-8.4375,-10.0625,-10,-9.6875,-10.0625,-9.9375,-9.5625,-9.6875,-9.6875,-9.25,-9.625,-9.6875,-9.0625,-9.375,-9.3125,-8.6875,-9.5625,-9.5625,-8.75
addict,-11.8125,-11.9375,-11.25,-12.125,-12.0625,-11.625,-11.9375,-11.9375,-11.0625,-12.1875,-12.25,-11.5,-11.9375,-11.9375,-11.3125,-11.75,-11.875,-11.125,-12.6875,-12.8125,-12.0625,-12.6875,-12.625,-12.3125,-12.5,-12.4375,-12.3125,-10.125,-10.125,-9.1875,-9.9375,-9.875,-8.8125,-10.4375,-10.1875,-9.625,-10.9375,-10.75,-10.125,-10.5,-10.4375,-9.625,-10.875,-10.75,-10.3125,-10.25,-10.125,-9.5,-9.6875,-9.6875,-9.0625,-10.5,-10.375,-9.875
addicted,-10.875,-11,-10.125,-11.5,-11.5,-10.875,-11.3125,-11.375,-10.5,-11.625,-11.75,-10.6875,-11.875,-11.875,-11.25,-11.5625,-11.5625,-10.8125,-12.125,-12.125,-11.5625,-12.3125,-12.375,-11.75,-12.3125,-12.3125,-11.8125,-8.4375,-8.5,-7.90625,-8.375,-8.375,-7.90625,-8.8125,-8.8125,-8.25,-9.125,-9.0625,-8.6875,-9,-8.875,-8.625,-9.4375,-9.375,-9.125,-8.625,-8.5625,-8.3125,-8.375,-8.375,-7.8125,-9.0625,-9.125,-8.4375
