response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,0.871338069,0.810547054,1.4083252,0.597778618,0.587646961,1.12969971,0.997986138,0.881470144,1.4083252,0.754821956,0.714294732,1.26141357,0.531921804,0.516724169,0.992919922,0.775085866,0.856140673,1.32727051,0.630706966,0.574982107,1.09423828,0.320419699,0.400208145,0.805480957,0.618042409,0.5876472,1.06384277,2.55322289,2.67480516,2.95849609,2.16821337,2.18847728,2.67480469,2.24926805,2.36071849,2.83691406,2.56335449,2.61401415,2.97875977,2.22900414,2.25939989,2.59375,2.33032274,2.48230028,2.81665039,2.48230028,2.5329597,2.93823242,2.2796638,2.39111423,2.69506836,2.4215095,2.47216916,2.85717773
abhored,0.876403987,0.780151546,1.23101807,0.719360709,0.605377674,0.957458496,0.992920399,0.91693151,1.30700684,0.866272151,0.820679009,1.22088623,0.653503895,0.618042707,0.861206055,0.937195301,0.886536181,1.21075439,0.590179741,0.602844656,0.906799316,0.410339832,0.423004776,0.625640869,0.780151904,0.714295089,0.881469727,2.48230028,2.38098192,2.67480469,2.10742235,2.14795017,2.4519043,2.34045506,2.34045529,2.69506836,2.4316411,2.49243212,2.79638672,2.11755419,2.15808153,2.36071777,2.32019091,2.37085009,2.67480469,2.43164134,2.50256467,2.83691406,2.1276865,2.21887398,2.51269531,2.36071873,2.34045577,2.75585938
abhors,0.962524593,0.82067889,1.37792969,0.749756157,0.7396245,1.11956787,1.02838171,1.03344786,1.42858887,0.861206234,0.820679069,1.28167725,0.673767567,0.71429503,0.92199707,0.982788563,0.957459092,1.33740234,0.638305962,0.625641286,1.04864502,0.430603445,0.450867385,0.800415039,0.648437977,0.653504252,1.03851318,1.86425829,1.93518114,2.42150879,1.65148997,1.66162205,2.20874023,1.773072,1.78320408,2.25939941,1.77307153,1.88452196,2.4519043,1.67175317,1.7325443,2.23913574,1.7832036,1.80346727,2.29992676,1.84399486,1.85412705,2.43164062,1.78320396,1.75280893,2.24926758,1.88452256,1.8237319,2.3404541
abstinance,1.66162121,1.59069848,2.06689453,1.48938024,1.4995122,1.71228027,1.71228063,1.80346715,2.00610352,1.57043481,1.56030309,1.87438965,1.34753454,1.35766661,1.50964355,1.57043505,1.60083055,1.90478516,1.44885278,1.47924852,1.64135742,1.2766118,1.28674376,1.49951172,1.4995122,1.52990782,1.56030273,1.69201696,1.67175341,2.01623535,1.56030333,1.50964451,1.88452148,1.62109447,1.67175412,2.01623535,1.37792993,1.48938024,1.74267578,1.09423852,1.19049108,1.41845703,1.41845739,1.5299077,1.52990723,1.52990794,1.63122666,1.9453125,1.40832615,1.51977694,1.8034668,1.50964451,1.59069955,1.8034668
abstinence,1.7426759,1.67175317,2.13781738,1.49951208,1.50964403,1.70214844,1.81359899,1.8439945,2.14794922,1.63122582,1.65148962,1.91491699,1.28674352,1.34753478,1.4083252,1.65148973,1.66162157,1.90478516,1.48938012,1.5299077,1.68188477,1.30700731,1.35766661,1.51977539,1.59069872,1.59069884,1.66162109,1.81359899,1.86425829,2.15808105,1.51977587,1.61096287,2.01623535,1.67175364,1.82373166,2.12768555,1.44885278,1.54003942,1.85412598,1.22088647,1.35766637,1.63122559,1.43872106,1.56030321,1.70214844,1.67175364,1.64135849,2.04663086,1.479249,1.64135921,1.86425781,1.61096287,1.74267721,1.93518066
abused,0.673767269,0.633239925,0.962524414,0.615509272,0.559784412,0.780151367,0.759887993,0.683899283,0.957458496,0.709228694,0.638305962,0.861206055,0.577515125,0.562317491,0.820678711,0.835876942,0.729492784,0.94732666,0.460998774,0.506592214,0.719360352,0.44073531,0.364746839,0.595245361,0.511658192,0.519257426,0.638305664,2.46203661,2.46203661,2.65454102,2.20874071,2.33032322,2.63427734,2.18847704,2.27966404,2.59375,2.49243188,2.59375048,2.79638672,2.34045458,2.37085009,2.61401367,2.42150927,2.48230028,2.69506836,2.52282763,2.57348728,2.83691406,2.44177341,2.40124631,2.7355957,2.37085056,2.3303237,2.65454102
abuser,0.911865413,0.780151546,1.16009521,0.749756098,0.729492605,0.881469727,0.866272271,0.830810905,1.11450195,0.764953792,0.759887993,0.992919922,0.688965261,0.653503954,0.810546875,0.800415456,0.775085926,1.02331543,0.699096859,0.600311637,0.89666748,0.574982107,0.516724229,0.754821777,0.663635731,0.605377913,0.861206055,2.2897954,2.31005907,2.7355957,2.27966356,2.23913646,2.77612305,2.19860911,2.24926853,2.67480469,2.41137719,2.48230028,2.81665039,2.47216845,2.55322313,2.77612305,2.36071825,2.42150927,2.79638672,2.26953173,2.34045529,2.77612305,2.33032322,2.44177365,2.77612305,2.21887326,2.19860959,2.71533203
abusers,0.800415218,0.709228694,1.0435791,0.688965082,0.628174305,0.901733398,0.835876822,0.764954031,0.982788086,0.749756038,0.678833306,0.962524414,0.653503895,0.569916308,0.790283203,0.754822254,0.749756396,0.992919922,0.688965082,0.714294791,0.851074219,0.572449207,0.516724348,0.704162598,0.678833544,0.547119915,0.835876465,2.2897954,2.19860888,2.67480469,2.11755419,2.24926853,2.71533203,2.15808201,2.18847752,2.67480469,2.24926782,2.27966356,2.7355957,2.32019091,2.31005907,2.65454102,2.23913622,2.40124559,2.69506836,2.11755419,2.1276865,2.65454102,2.31005955,2.31005979,2.69506836,2.08715963,2.13781881,2.59375
abuses,0.815612972,0.724426448,1.07397461,0.709228754,0.602844656,0.89666748,0.749756157,0.734558463,1.00811768,0.790283382,0.69403106,0.942260742,0.724426746,0.597778797,0.851074219,0.881470203,0.815613329,1.0435791,0.633239985,0.630707145,0.89666748,0.559784412,0.524323165,0.709228516,0.600311816,0.625641644,0.770019531,2.42150927,2.47216845,2.57348633,2.27966356,2.3809824,2.67480469,2.45190477,2.44177341,2.67480469,2.73559594,2.7963872,2.87744141,2.67480516,2.71533251,2.85717773,2.75585985,2.7963872,2.87744141,2.61401415,2.58361912,2.85717773,2.57348728,2.59375119,2.79638672,2.55322385,2.54309201,2.85717773
abusing,0.739624202,0.683899105,0.906799316,0.628174067,0.585113943,0.663635254,0.820679009,0.734558463,0.891601562,0.734558284,0.699096918,0.866271973,0.539520681,0.567383289,0.67376709,0.734558523,0.709228992,0.876403809,0.5952456,0.564850211,0.694030762,0.486328572,0.498993635,0.511657715,0.539520741,0.539521039,0.714294434,2.59375048,2.5734868,2.79638672,2.44177294,2.40124607,2.65454102,2.50256395,2.41137791,2.79638672,2.75585961,2.81665087,2.99902344,2.63427782,2.59375048,2.81665039,2.67480516,2.65454149,2.91796875,2.5734868,2.6342783,2.81665039,2.54309177,2.57348752,2.67480469,2.48230076,2.4721694,2.71533203
ache,1.52990746,1.52990746,1.91491699,1.39819372,1.36779833,1.52990723,1.65148962,1.67175329,1.93518066,1.62109399,1.65148962,1.89465332,1.42858934,1.40832567,1.58056641,1.8946538,1.75280821,1.97570801,1.25634789,1.24115038,1.32727051,1.0537113,1.13983202,1.10943604,1.31713927,1.2462163,1.41845703,3.0800786,3.14086962,3.40429688,3.01928759,3.08007908,3.32324219,2.93823338,3.01928806,3.22192383,2.57348633,2.5734868,2.85717773,2.53295946,2.67480516,2.91796875,2.58361864,2.63427782,2.75585938,2.9382329,2.95849729,3.32324219,3.05981541,3.12060666,3.32324219,2.85717893,2.93823433,3.20166016
ached,1.31713891,1.24621606,1.56030273,1.22595251,1.12463427,1.36779785,1.34753454,1.34753454,1.61096191,1.26141381,1.2512821,1.5501709,1.06384325,1.12463439,1.33740234,1.39819384,1.28674376,1.61096191,1.07397485,1.0486455,1.29180908,0.942261159,0.891602159,1.10943604,1.08917296,1.14489806,1.34753418,1.97570848,1.97570848,2.26953125,1.77307177,1.80346775,2.21887207,1.81359959,1.77307224,2.16821289,1.64135766,1.62109423,1.82373047,1.47924829,1.58056688,1.8034668,1.51977575,1.68188524,1.82373047,1.77307189,1.80346811,2.13781738,1.77307224,1.84399557,2.06689453,1.74267697,1.73254585,1.96557617
aches,1.16009533,1.09930444,1.41845703,0.901733756,0.86627239,1.20568848,1.15502965,1.14996374,1.41845703,1.19049096,1.06890905,1.30700684,1.02331579,1.01318419,1.05877686,1.2512821,1.22088683,1.39819336,0.77001971,0.820679188,0.932128906,0.569916129,0.509125292,0.602844238,0.76495415,0.79028368,0.881469727,2.25939989,2.26953173,2.50256348,2.16821337,2.21887302,2.50256348,2.08715916,2.15808201,2.40124512,1.80346704,1.89465368,2.04663086,1.84399438,1.93518102,2.02636719,1.88452184,1.93518114,1.98583984,2.01623583,2.10742307,2.31005859,2.11755466,2.20874143,2.41137695,2.06689548,2.10742378,2.26953125
aching,1.46911633,1.59069848,1.8034668,1.27661169,1.31713915,1.57043457,1.57043493,1.56030309,1.77307129,1.60083032,1.5906986,1.8338623,1.46911681,1.49951231,1.67175293,1.81359911,1.81359923,1.92504883,1.17529321,1.19555712,1.27154541,1.02331579,1.03851378,1.12463379,1.15502989,1.20062315,1.25128174,3.05981493,3.01928759,3.22192383,2.97876024,2.93823338,3.20166016,2.75586033,2.75586033,3.08007812,2.46203637,2.49243212,2.83691406,2.47216845,2.51269579,2.7355957,2.38098192,2.34045458,2.65454102,2.77612352,2.89770627,3.18139648,2.97876072,3.05981565,3.2421875,2.67480588,2.71533394,3.1003418
achingly,1.50964379,1.5400393,1.67175293,1.34753454,1.35766661,1.47924805,1.61096227,1.68188536,1.68188477,1.47924829,1.49951208,1.65148926,1.21582079,1.3272711,1.38806152,1.51977587,1.54003966,1.63122559,1.27661157,1.30700731,1.35766602,1.0841068,1.18542564,1.11450195,1.27661192,1.39819419,1.296875,2.01623583,2.0364995,2.24926758,1.79333556,1.92504978,2.09729004,1.81359947,1.91491807,2.0871582,1.72241235,1.81359911,1.85412598,1.66162133,1.74267614,1.74267578,1.66162157,1.77307189,1.8338623,1.82373118,1.93518186,2.03649902,1.82373142,1.86425912,1.99597168,1.86425912,1.7325455,1.96557617
acquiesce,1.2867434,1.26141381,1.74267578,0.927063346,0.896667957,1.32727051,1.23608446,1.195557,1.6920166,1.09930444,1.03851342,1.52990723,0.668701589,0.704163253,0.942260742,1.03344774,1.02331591,1.35766602,0.962524652,1.02838182,1.296875,0.668701589,0.759888291,0.851074219,0.901733875,0.977722764,1.13983154,1.30700731,1.37793028,1.86425781,1.10943651,1.19555748,1.73254395,1.2918098,1.32727158,1.77307129,1.29687524,1.41845751,1.67175293,1.1448977,1.28167748,1.44885254,1.35766637,1.45898485,1.68188477,1.38806224,1.34753525,1.8034668,1.18035972,1.23101962,1.6920166,1.40832603,1.35766721,1.73254395
acquiesced,1.02838159,0.942260981,1.4387207,0.688965261,0.678833544,0.952392578,1.079041,0.992920339,1.33740234,0.775085688,0.775085807,1.14996338,0.483795643,0.448334455,0.714294434,0.795349658,0.810547411,1.06384277,0.734558403,0.66363579,1.01824951,0.493927509,0.504059494,0.658569336,0.759888232,0.648438156,0.876403809,1.28167772,1.14996409,1.61096191,1.05877757,1.00811875,1.46911621,1.170228,1.21075583,1.56030273,1.07397485,1.13983202,1.56030273,1.02838159,0.957458854,1.22595215,1.1347661,1.15502977,1.42858887,1.1398325,1.16516244,1.46911621,1.00305295,0.992921889,1.36779785,1.06890965,1.04864645,1.37792969
acquiescent,1.27154565,1.11956811,1.61096191,0.896667838,0.886536181,1.28674316,1.18542528,1.12970006,1.54003906,0.916931391,0.9422611,1.46911621,0.683899343,0.683899581,1.01318359,0.947327137,1.00811827,1.29180908,0.886535943,0.891602039,1.25634766,0.612976491,0.648438156,0.851074219,0.927063465,0.916931748,1.07397461,1.34753466,1.31713927,1.8034668,1.20062315,1.27154624,1.74267578,1.40832603,1.42859018,1.81359863,1.30700707,1.30700731,1.66162109,1.18542504,1.23608434,1.51977539,1.42858934,1.37793016,1.65148926,1.29180992,1.3272717,1.73254395,1.28674424,1.28674495,1.62109375,1.39819431,1.3171401,1.74267578
