response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,13.5871429,12.6249466,14.2271748,13.9333973,11.3181992,14.0743389,14.8715868,13.9598742,15.7357283,15.3100529,14.8565044,14.7755423,13.4509363,11.4865551,13.5117836,14.2549028,13.406147,14.6958923,12.042284,9.89064407,13.3373222,10.9753513,7.43108273,12.4155626,13.126833,11.0314255,14.6568079,20.031353,18.5644264,20.380127,19.4026375,17.7308426,20.1221428,19.752449,18.7834053,20.6870117,20.4526463,20.4054165,21.2234192,19.5719967,19.2774429,20.3052044,19.6919842,19.3515224,20.0885162,18.6671467,16.943161,19.8163414,17.0578995,14.1541538,19.3549042,17.9691505,16.2552891,19.7522202
abhored,13.5820637,12.0544262,13.5236626,13.5502424,10.6334648,13.7370806,14.516777,13.1392956,14.9559393,14.9381847,13.9373932,14.3981228,13.2446775,10.9786425,13.2243385,13.8355885,12.6168575,14.2385502,12.0256901,9.37546921,13.0162125,10.8786602,7.1430645,12.8438625,12.5718012,9.94058609,13.9959488,17.5279388,15.6405802,18.1207314,17.330061,15.2773304,18.2005653,17.1327972,15.8045387,18.2357063,17.971571,17.2378426,17.9140816,17.6929359,16.875536,17.8531551,17.5091248,16.6458855,17.3232155,16.7578964,14.5384808,17.5636215,15.5719042,12.3456955,17.8013573,15.9321613,13.913579,17.5938721
abhors,14.3414726,13.1149855,13.8899231,14.0547962,11.3706341,14.0858326,14.718338,13.6289272,14.757884,15.2277203,14.532383,14.4079256,13.8577137,11.9633808,13.6663818,14.0333042,13.017827,14.1550636,12.5836782,10.1402397,13.0855198,11.3877697,7.80818081,13.238266,12.6919069,10.3422041,13.8443527,15.7050962,14.10464,15.6421738,15.5928955,13.6752195,15.7669086,15.7712841,14.5389538,16.1779747,16.412056,16.0893879,15.8917093,16.000042,15.4614286,15.5549088,16.2233295,15.6082211,15.6125984,15.5003223,13.3906488,15.8882561,14.2415257,11.0023041,15.7606926,15.0156631,12.9482441,16.131937
abstinance,15.778429,14.0854073,17.2508965,15.3134508,12.360466,17.8823757,17.50494,15.9963408,20.0289383,16.8841114,15.6802683,17.4338856,17.4902802,15.215416,17.8043327,15.7485533,14.3104601,17.9856472,14.3878841,11.5835075,17.3907661,12.0106812,8.27617741,16.1750641,15.1477833,12.4586506,19.2327423,14.3360767,11.7022839,15.2810116,13.8276043,10.8038044,15.1096611,13.5177441,11.1993895,15.4765835,13.5108013,12.3745098,13.7974997,12.7927523,11.7035294,13.1650667,13.1759624,11.861475,14.0432043,14.4555826,11.4486885,14.9908686,13.3692999,9.57749748,15.0872984,13.4827967,10.6688023,15.1526814
abstinence,16.2387123,15.0167122,16.9526138,15.7495327,13.1575584,17.5234222,17.0481491,15.7100353,18.6401958,17.6475677,16.9084167,18.3516083,20.6491547,18.3895473,18.6063042,16.0945206,14.7698412,17.8417892,14.4825306,12.1365604,16.9050598,12.9546223,9.61747169,15.8969135,14.5767021,12.3499317,17.875679,18.6580276,16.495739,19.1499023,17.9761047,15.3281689,18.2609978,17.6356411,15.6147585,18.4644108,16.9917545,16.2782917,17.1107998,15.6591873,14.8878174,16.0787506,15.8614349,14.8482704,16.513258,18.4224167,15.7421951,18.6919365,17.1534805,13.68326,18.5264778,16.8558044,14.2738638,18.2271729
abused,11.2460356,10.2943993,11.1686726,11.5931511,9.44978523,12.0322208,13.3279533,12.6393261,14.0040474,13.8955984,13.6701899,13.1411152,14.0815306,12.5797892,13.5411787,13.9453945,13.3619089,14.1386709,9.92167091,7.86927319,10.7673588,9.14138317,6.15099049,10.9468546,10.9711933,9.11739731,13.308032,25.4264126,24.6060028,24.8532009,25.2689476,24.1181622,25.8802681,22.3871975,21.7633381,23.813015,24.6789551,24.6396828,25.3857403,23.1137772,22.9441357,25.4002304,21.6061249,21.3966637,23.8976269,26.0846844,24.8171101,26.1059952,24.9116516,22.4120255,27.1304588,22.6225243,21.2686062,24.6918716
abuser,9.33987999,8.24332047,7.83689642,9.24874878,6.89319134,8.5496645,10.3874092,9.42980289,9.66769218,11.3218746,10.8632479,9.42926979,10.5654373,8.91908169,9.55844688,10.8312359,10.0238419,9.65911865,8.2264328,6.0583868,7.63457584,6.79522943,3.6913023,7.65225506,8.46134758,6.42421532,9.06384468,23.6391106,22.8614578,21.3158569,24.687336,23.2718201,24.1959991,22.7571526,22.1490211,21.9280548,23.6556377,23.4874191,22.7144051,22.9602966,22.729908,24.0627975,21.3673286,20.9246387,21.3634911,24.5443039,23.0524731,22.2820473,23.6012306,20.8679924,24.3288631,21.8320351,20.2801151,21.0401154
abusers,9.9932518,9.13447285,8.76755524,9.56680584,7.38212967,9.1352253,11.1980028,10.4234829,10.687746,11.8707819,11.4493723,10.5097179,11.0423403,9.25349236,10.599225,11.4110355,10.5483236,10.9085264,8.80933762,6.76150274,8.6657238,7.45927191,4.44659138,8.69909954,9.14130592,7.2462101,10.1239491,21.8050003,20.1684456,21.2142334,21.2971764,19.2202682,22.2549095,19.9996853,18.6276245,20.7004318,20.6858444,19.9026527,21.1702003,20.70434,19.7957115,22.8590221,18.9835663,18.0950603,20.3218441,21.3668041,19.1785583,21.1574402,20.4244728,17.0872726,22.7819691,19.2337608,17.0945606,20.3837547
abuses,13.486393,12.4362125,12.6044884,13.0624809,10.6341763,12.8540134,14.2398586,13.302454,14.116106,14.7173424,14.2161884,13.2322407,13.5577536,11.7631111,13.0534935,13.6794844,12.775115,13.6859188,11.4086933,9.15180397,11.7156286,9.92814732,6.58024693,11.5151787,11.6962843,9.44598007,13.0694494,20.4964027,18.3078403,20.4777145,20.8475914,18.3611946,22.160387,20.5290203,18.7256508,21.9732895,20.3641586,19.1812057,21.3133392,21.2391186,20.0841141,23.5732784,20.054882,18.9901924,21.7896576,20.7831764,17.9455719,22.0532112,20.092823,16.2971516,23.8073616,19.5673904,17.1164742,22.4054794
abusing,11.7743654,10.7920485,10.0169525,10.9059324,8.83089447,10.0984135,12.6792278,12.0550261,11.9534883,13.2556458,13.1691628,11.5576677,11.7844629,10.3935366,11.2735691,12.8671923,12.5007725,12.4454842,9.57063484,7.45702457,9.03373051,8.05429745,4.93943119,8.55831528,9.83431053,7.87874126,10.6015234,23.6750603,22.6701469,22.7232418,23.8270073,22.4066162,23.6243324,22.4350853,21.6156158,23.0573349,24.3017521,24.1159897,23.9296608,23.6237316,23.5281048,24.3358154,22.3390427,22.0982513,23.2749214,24.302496,22.5713959,23.3060303,22.8454628,20.1024818,23.9787292,21.8634949,20.224369,22.6441593
