response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,-5.1171875,-4.73828125,-4.296875,-5.33203125,-5.0703125,-4.3125,-4.7734375,-4.54296875,-3.421875,-3.87890625,-3.75390625,-2.80078125,-4.15625,-4.0234375,-3.078125,-4.30859375,-4.29296875,-2.77539062,-5.0859375,-5.00390625,-3.78320312,-5.4765625,-5.41796875,-4.046875,-4.93359375,-4.9453125,-3.36132812,-6.98046875,-6.87890625,-6.16796875,-6.46484375,-6.328125,-5.62890625,-6.890625,-6.8046875,-5.69921875,-7.5,-7.46484375,-6.65234375,-7.10546875,-7.0234375,-6.26953125,-7.2578125,-7.140625,-6.12109375,-6.88671875,-6.85546875,-6.50390625,-6.7890625,-6.75390625,-6.171875,-7.109375,-7.05078125,-6.390625
affection,2.20898438,2.57617188,3.203125,3.48632812,3.8359375,4.19921875,2.39453125,2.81640625,3.078125,1.88574219,2.14648438,3.16210938,3.4765625,3.64257812,4.37890625,1.09179688,1.43554688,1.58886719,2.50390625,2.76171875,3.8828125,2.70507812,3.109375,4.25390625,2.40234375,2.73632812,3.58398438,-6.57421875,-6.5234375,-5.76953125,-5.6171875,-5.515625,-4.9609375,-6.62890625,-6.53125,-5.984375,-7.14453125,-7.15625,-6.48828125,-6.51171875,-6.44140625,-5.81640625,-7.19140625,-7.15234375,-6.55859375,-6,-6.08203125,-5.8359375,-5.44140625,-5.5234375,-5.14453125,-6.078125,-6.16796875,-5.7734375
affinity,-2.44921875,-2.453125,-1.80859375,-1.85253906,-1.80078125,-1.62011719,-2.41796875,-2.47851562,-1.97460938,-2.09960938,-2.16992188,-2.03320312,-1.0390625,-1.15625,-1.109375,-3.27734375,-3.37890625,-2.796875,-2.73632812,-2.875,-1.67285156,-2.27734375,-2.28710938,-1.34472656,-2.87109375,-3.0390625,-1.72851562,-6.97265625,-6.9921875,-5.97265625,-6.5625,-6.56640625,-5.7265625,-7.1875,-7.15625,-6.40625,-7.68359375,-7.734375,-6.8203125,-7.3828125,-7.390625,-6.46875,-7.83203125,-7.80078125,-6.9609375,-6.88671875,-6.9296875,-6.4140625,-6.73046875,-6.73828125,-6.05078125,-7.1953125,-7.20703125,-6.58203125
aid,-3.52539062,-3.4453125,-2.45117188,-2.54492188,-2.55078125,-2.046875,-2.46679688,-2.2890625,-1.71289062,-3.87890625,-3.93554688,-2.69726562,-2.38476562,-2.45117188,-1.35644531,-4.73828125,-4.85546875,-3.76367188,-2.45898438,-2.42773438,-1.37890625,-2.25195312,-2.34570312,-1.28222656,-1.94335938,-1.93066406,-0.8203125,-7.17578125,-7.23046875,-6.22265625,-6.6015625,-6.68359375,-5.796875,-6.85546875,-6.7890625,-5.890625,-7.3359375,-7.4140625,-6.53515625,-6.9375,-7.02734375,-6.1953125,-7.09375,-7.07421875,-6.3125,-6.671875,-6.80078125,-6.36328125,-6.4296875,-6.55078125,-6.0546875,-6.65625,-6.76953125,-6.1875
allegiant,-4.515625,-4.33203125,-4.43359375,-4.4140625,-4.30078125,-4.5,-4.53515625,-4.33984375,-4.56640625,-3.74804688,-3.61328125,-4.19921875,-3.5625,-3.5078125,-4.015625,-4.03125,-3.91992188,-4.16015625,-4.62109375,-4.50390625,-4.6171875,-5.08984375,-5.0390625,-4.71875,-5.1796875,-5.03125,-4.890625,-7.30078125,-7.41015625,-6.87109375,-6.95703125,-7.05859375,-6.57421875,-7.37890625,-7.41796875,-7.015625,-7.609375,-7.6796875,-7.30078125,-7.4375,-7.484375,-7.1171875,-7.859375,-7.8515625,-7.5234375,-6.953125,-7.10546875,-7.07421875,-6.90234375,-7.03125,-6.7109375,-7.24609375,-7.328125,-7.12109375
alliance,-4.1171875,-4.1015625,-3.15039062,-3.87109375,-3.96289062,-3.3359375,-3.74609375,-3.81054688,-2.984375,-3.78710938,-3.94335938,-2.94726562,-3.29882812,-3.53515625,-2.640625,-4.39453125,-4.58203125,-3.63476562,-4.3515625,-4.5234375,-3.09570312,-4.546875,-4.7109375,-3.31445312,-4.34375,-4.58984375,-3.13476562,-7.21484375,-7.25390625,-6.46484375,-6.75390625,-6.80078125,-6.19921875,-7.109375,-7.15234375,-6.3359375,-7.68359375,-7.75,-7.08203125,-7.3515625,-7.3828125,-6.6875,-7.58203125,-7.61328125,-6.8671875,-6.71875,-6.80078125,-6.5078125,-6.55859375,-6.609375,-6.09375,-6.87890625,-6.9765625,-6.34375
alliances,-5.22265625,-5.1875,-4.80078125,-4.96875,-4.94140625,-4.83984375,-4.8046875,-4.74609375,-4.46875,-4.9765625,-5.078125,-4.49609375,-4.4453125,-4.55078125,-4.1484375,-5.12109375,-5.23828125,-4.796875,-5.796875,-5.94921875,-5.01953125,-5.88671875,-5.9921875,-5.19140625,-5.703125,-5.86328125,-4.79296875,-7.41015625,-7.421875,-6.80078125,-7.01171875,-7.0078125,-6.5703125,-7.2890625,-7.2578125,-6.75390625,-7.890625,-7.921875,-7.390625,-7.546875,-7.52734375,-7.015625,-7.7890625,-7.76953125,-7.1953125,-7.3125,-7.34765625,-7.125,-7.01953125,-7.01953125,-6.75,-7.2265625,-7.2578125,-6.89453125
allies,-4.9453125,-4.859375,-4.52734375,-4.66796875,-4.66796875,-4.47265625,-5.3359375,-5.28125,-4.9140625,-5.1796875,-5.265625,-4.73828125,-4.578125,-4.6796875,-4.26953125,-5.76953125,-5.8515625,-5.34765625,-5.49609375,-5.58203125,-4.83984375,-5.39453125,-5.4765625,-4.74609375,-5.90234375,-6.0078125,-5.22265625,-8.234375,-8.1796875,-7.65234375,-7.78125,-7.734375,-7.30078125,-8.1953125,-8.09375,-7.609375,-8.25,-8.296875,-7.828125,-7.93359375,-7.94140625,-7.58203125,-8.34375,-8.2890625,-7.8046875,-7.87890625,-7.9140625,-7.75390625,-7.49609375,-7.51171875,-7.33984375,-7.87890625,-7.90234375,-7.578125
ally,-4.55859375,-4.46484375,-3.76757812,-3.83984375,-3.62304688,-3.23242188,-4.8046875,-4.70703125,-4.13671875,-4.89453125,-4.91015625,-4.0703125,-4.1015625,-4.0703125,-3.19140625,-5.6875,-5.7265625,-4.95703125,-5.09375,-5.05859375,-4.16015625,-5,-4.90625,-3.75,-5.41796875,-5.453125,-4.54296875,-7.48828125,-7.3515625,-6.96484375,-7.04296875,-6.890625,-6.72265625,-7.58984375,-7.4453125,-7.0078125,-7.87890625,-7.77734375,-7.3046875,-7.5390625,-7.40625,-7.078125,-7.94921875,-7.80078125,-7.34375,-7.3671875,-7.17578125,-7.14453125,-6.96875,-6.8046875,-6.73046875,-7.47265625,-7.32421875,-7.0625
altruism,-1.72460938,-1.67382812,-1.21191406,-1.31640625,-1.21679688,-0.95703125,-1.74316406,-1.61523438,-1.5390625,-0.728515625,-0.736816406,-0.0437316895,0.289306641,0.214233398,0.850097656,-1.7265625,-1.76660156,-1.46679688,-0.0406494141,0.0681762695,1.22851562,-0.982910156,-0.93359375,0.542480469,-0.288330078,-0.215332031,0.534667969,-6.4375,-6.3828125,-5.8984375,-5.5,-5.37890625,-5.25390625,-6.32421875,-6.17578125,-5.80859375,-7.05078125,-7.03515625,-6.5,-5.98828125,-5.86328125,-5.44140625,-7.02734375,-6.890625,-6.3515625,-5.48828125,-5.453125,-5.4296875,-4.796875,-4.67578125,-4.546875,-5.5390625,-5.4765625,-5.23828125
