response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,-20.125,-20.375,-18.5,-20.25,-20.75,-19,-19.625,-19.875,-17.875,-19.875,-20,-18.125,-19.875,-20.375,-18.375,-19.75,-20,-17.875,-21.125,-21.375,-19.25,-21.75,-22,-19.625,-21.5,-21.625,-19.125,-13.375,-12.8125,-10.8125,-15,-14.5625,-12.5625,-13.3125,-12.875,-11,-12.3125,-11.5,-10.5625,-14.875,-14.25,-12.9375,-13.5625,-13,-11.5625,-14.25,-13.4375,-11.8125,-15.25,-14.6875,-13.3125,-14.875,-14.3125,-12
abhored,-20.25,-20.375,-18.125,-20.25,-20.625,-18.375,-19.625,-19.875,-17.375,-20.25,-20.375,-18.125,-20,-20.25,-18.125,-19.875,-20.125,-17.75,-20.875,-21.25,-18.75,-21.25,-21.625,-18.75,-21.125,-21.25,-18.25,-14.8125,-14.625,-12.125,-16,-15.9375,-13.25,-15.25,-15.0625,-12.3125,-14.8125,-14.4375,-12.75,-16.5,-16.375,-14,-15.5625,-15.375,-13.375,-16,-15.625,-13.3125,-16.5,-16.375,-14.0625,-16.5,-16.25,-13.4375
abhors,-19.75,-20,-18.25,-19.75,-20.25,-18.125,-19.625,-19.75,-18.125,-20,-20,-18.125,-19.625,-19.75,-18.125,-19.625,-19.875,-18,-20.5,-20.875,-18.75,-20.875,-21.125,-18.875,-20.75,-20.875,-18.625,-16.75,-16.375,-14.125,-17.75,-17.625,-15,-16.625,-16.5,-13.9375,-16.25,-15.8125,-14.3125,-18,-17.875,-15.625,-16.875,-16.75,-14.75,-17.375,-17,-14.6875,-17.875,-17.625,-15.375,-17.75,-17.5,-14.75
abstinance,-15.875,-16.25,-13.375,-15.75,-16.25,-13.3125,-14.9375,-15,-11.875,-16,-16.125,-13.875,-15.6875,-15.9375,-13.5,-15.5,-15.6875,-12.875,-17.125,-17.75,-14,-17.5,-17.875,-14.25,-16.625,-16.875,-13.0625,-17.625,-17.375,-14.4375,-18.375,-18.25,-15.1875,-17.375,-17.5,-14.1875,-18.25,-17.875,-15.3125,-19.75,-19.25,-16.625,-18.5,-18.375,-15.375,-17.625,-17.375,-15.125,-18.125,-17.875,-15.75,-17.5,-17.5,-14.6875
abstinence,-20.125,-20.25,-17.375,-20,-20.25,-17.25,-19.25,-19.25,-16.375,-19.25,-19.25,-16.5,-18.5,-18.625,-15.9375,-19.25,-19.125,-16.375,-20.75,-20.75,-17.375,-20.875,-21,-17.625,-20.5,-20.5,-16.875,-17.5,-17.25,-13.875,-18.625,-18.875,-15.875,-18,-18.25,-14.6875,-18.75,-18.5,-15.625,-20.875,-20.625,-17.75,-20,-20,-16.75,-17.5,-17.25,-14.875,-18.5,-18.25,-16.125,-18.5,-18.25,-15.3125
abused,-20.5,-20.5,-18.875,-20.375,-20.5,-18.875,-18.625,-18.625,-16.625,-19.125,-19,-17.5,-18.875,-18.875,-17.375,-18.25,-18.125,-16.375,-21.625,-21.75,-19.875,-21.625,-21.625,-19.875,-20.875,-20.875,-18.125,-10.6875,-9.6875,-7.6875,-10.6875,-10,-7.40625,-11.375,-10.75,-7.875,-9.75,-9.125,-7.59375,-11.125,-10.5625,-8,-11.375,-10.75,-8.125,-9.8125,-9.1875,-7.84375,-9.9375,-9.125,-7.3125,-11.375,-10.6875,-8.1875
abuser,-21.25,-21,-20,-20.75,-21,-19.875,-20.625,-20.5,-19.625,-20.75,-20.5,-19.625,-19.75,-19.75,-19.375,-20.625,-20.375,-19.5,-21.375,-21.625,-20.125,-21.125,-21.375,-19.75,-21.375,-21.625,-19.75,-13.9375,-13.1875,-12.6875,-13.0625,-12.875,-11.9375,-13.875,-13.1875,-12.5625,-12.9375,-12.1875,-12.5625,-13.5625,-13.1875,-12.5625,-13.875,-13.4375,-12.8125,-13.375,-12.75,-13.0625,-12.625,-12.0625,-12.3125,-14.0625,-13.5625,-13.375
abusers,-22.875,-22.875,-21.75,-23,-23,-21.875,-21.625,-21.75,-20.375,-21.75,-21.875,-20.375,-21.625,-21.75,-20.25,-21.25,-21.5,-19.875,-23.875,-23.75,-22.375,-23.875,-23.875,-22.5,-23.25,-23.375,-21.25,-11.875,-11.875,-9.0625,-11.9375,-12.125,-8.625,-12.625,-12.75,-9.3125,-12.1875,-12.3125,-9.75,-12.6875,-12.875,-9.0625,-13.5625,-13.75,-10.25,-11.1875,-11.4375,-9.5,-11.125,-11.1875,-8.5625,-13,-12.9375,-10.125
abuses,-19.75,-19.75,-18.625,-19.75,-20,-19,-18.875,-18.875,-17.625,-19.25,-19.375,-18.125,-19.25,-19.375,-18,-19.25,-19.25,-17.625,-20.75,-21.125,-19.625,-20.875,-21.125,-19.625,-20.75,-20.75,-18.875,-13.75,-13.75,-9.875,-13.375,-13.5625,-9.625,-13.3125,-13.5,-9.4375,-12.875,-12.875,-9.8125,-13,-13.1875,-9.4375,-13.25,-13.3125,-9.875,-13,-13.1875,-9.8125,-12.5625,-12.75,-9.3125,-13.75,-13.8125,-9.875
abusing,-20.75,-21.125,-19.5,-21.125,-21.25,-20,-20.5,-20.375,-18.625,-20.375,-20.25,-18.625,-20.625,-20.5,-19.25,-20.125,-20,-18,-22.25,-22.625,-21.25,-22.875,-23,-22,-22.625,-22.875,-20.75,-13.25,-12.375,-9.5625,-12.9375,-12.375,-9.1875,-13.625,-13.0625,-9.5,-11.6875,-11.25,-9.25,-12.5,-12.0625,-9,-13.3125,-12.8125,-9.5625,-12.25,-12.0625,-9.9375,-12.1875,-11.75,-9.4375,-14.125,-13.5625,-10.375
ache,-18.375,-18.125,-16.125,-19.125,-19.25,-16.875,-18.5,-18.375,-16,-18.5,-18.25,-15.9375,-18.375,-18.375,-16.375,-18.375,-18.25,-15.6875,-19.75,-19.875,-17.25,-20.5,-20.5,-17.875,-20.375,-20.5,-17.375,-11.4375,-11.0625,-8.4375,-12.0625,-11.6875,-9.5625,-13.0625,-12.6875,-10.125,-11.125,-10.6875,-9.375,-13.25,-12.75,-11.0625,-13.0625,-12.625,-11,-12.8125,-12.4375,-10.375,-12.625,-12.25,-10.5,-14.375,-14.1875,-11.5
ached,-18,-18,-16.375,-18.375,-18.5,-16.875,-17.875,-18,-16,-18.375,-18.25,-16.5,-18.125,-18.375,-17,-18.25,-18.375,-16.375,-19.375,-19.5,-17.5,-19.625,-20,-17.875,-19.75,-19.875,-17.5,-14.75,-14.1875,-11.8125,-16,-15.625,-13.5625,-16,-15.625,-13,-14.6875,-14.125,-12.375,-16.75,-16.25,-14.25,-16.125,-15.625,-13.625,-15.75,-15.3125,-13.0625,-16.5,-15.9375,-14.125,-17,-16.5,-13.875
aches,-18.625,-18.375,-16.625,-19.25,-19.375,-17.375,-18.625,-18.625,-16.875,-19.125,-19.125,-17,-19.125,-19.25,-17.375,-19,-19,-16.875,-20,-20,-17.75,-20.75,-20.75,-18.375,-20.5,-20.625,-18,-16.625,-16.25,-13.4375,-17.75,-17.625,-14.6875,-17.625,-17.5,-14.625,-16.625,-16.25,-14.125,-18.375,-18.125,-15.8125,-17.875,-17.5,-15.5625,-17.625,-17.375,-14.8125,-18,-17.75,-15.4375,-18.5,-18.375,-15.5
aching,-18.375,-18.375,-16.375,-19.125,-19.25,-17.125,-18.125,-18.125,-16.125,-18.75,-18.625,-16.375,-18.75,-18.875,-16.75,-18.375,-18.625,-16.25,-19.875,-20,-17.875,-20.75,-20.75,-18.625,-20.125,-20.25,-17.875,-15.1875,-14.6875,-11.625,-16.25,-15.8125,-12.875,-16.75,-16.625,-13.1875,-15.1875,-14.625,-12.625,-17.25,-16.75,-14.125,-17,-16.625,-14.0625,-15.9375,-15.5625,-13,-16.125,-15.75,-13.4375,-17.5,-17.25,-14.125
