response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,-0.373195648,-0.343383074,-0.279630661,-0.310980976,-0.299371749,-0.305285692,-0.279785156,-0.257282525,-0.188849732,-0.309336007,-0.280889809,-0.235283673,-0.324305654,-0.307346225,-0.269198895,-0.305701375,-0.279052764,-0.231876805,-0.413091242,-0.383646071,-0.312914491,-0.422830462,-0.408800244,-0.370272517,-0.345626593,-0.308703631,-0.284043849,0.30409196,0.295034856,0.49174124,0.254500717,0.248607725,0.371250629,0.265580326,0.265359342,0.471673638,0.467653036,0.492629468,0.66885519,0.32594645,0.331712782,0.477772117,0.344081163,0.357543409,0.505495787,0.266058922,0.279874265,0.482603401,0.225278109,0.251354665,0.332541734,0.19075647,0.195425689,0.392717838
abhored,-0.298852682,-0.304151714,-0.255026162,-0.244137168,-0.264121264,-0.260653317,-0.224910617,-0.233728915,-0.176912978,-0.256149828,-0.262008548,-0.208700836,-0.260420084,-0.274227798,-0.249477088,-0.245040655,-0.247233585,-0.19456166,-0.33079803,-0.326793313,-0.262845099,-0.319162756,-0.328743309,-0.294023395,-0.272075474,-0.270670354,-0.23189421,0.105606556,0.0639356971,0.228379071,0.0686574578,0.0324688852,0.153037041,0.0669069886,0.0460518003,0.221085012,0.161939561,0.118325055,0.284156412,0.101865143,0.0673861504,0.201840818,0.0959366858,0.0660779476,0.223356307,0.0862697363,0.0596504807,0.247585237,0.0650357008,0.0518757403,0.157659352,0.0345387757,0.0192977786,0.216509134
abhors,-0.252303064,-0.241347253,-0.212974906,-0.222545087,-0.222687021,-0.222282469,-0.22065413,-0.207997754,-0.166812092,-0.220640242,-0.209144592,-0.180692852,-0.222045004,-0.217125952,-0.218086869,-0.226464748,-0.212000981,-0.179326475,-0.290965974,-0.273603916,-0.245742053,-0.294471204,-0.287395507,-0.274065018,-0.261042565,-0.240546748,-0.231405601,-0.0593876839,-0.0632050633,0.046462357,-0.0583049059,-0.063742727,-0.0135841966,-0.0815829635,-0.0755803734,0.0543121696,-0.0223143697,-0.0109920502,0.141505629,-0.0689393729,-0.0596407801,0.0239132941,-0.0696547478,-0.0613107979,0.0631815791,-0.0675247908,-0.0657475591,0.0858019888,-0.066365853,-0.055317387,-0.0145275891,-0.102744505,-0.0992242247,0.0476004183
abstinance,-0.0219811797,-0.0278159976,0.166762352,0.0452052951,0.02668643,0.162215889,0.123595417,0.109746397,0.345285028,0.0712339878,0.055775404,0.209811211,0.155886829,0.139679253,0.187357455,0.0885106325,0.0719057918,0.249706984,0.00601816177,-0.00886970758,0.193558723,-0.0341347903,-0.0497690141,0.10646829,0.0862954557,0.0867092311,0.273786753,-0.0231434703,-0.0668835044,0.0979985595,-0.0545913577,-0.0920176208,0.0451749414,-0.0553182364,-0.0979691595,0.125926405,-0.101553023,-0.120523751,0.0516670346,-0.135085255,-0.135936335,-0.012714684,-0.0787863731,-0.0940104425,0.0926975906,-0.0133555532,-0.0494371653,0.090336591,-0.00349143147,-0.0163724124,0.0459255427,-0.0449582338,-0.0690683424,0.104501605
abstinence,-0.314858019,-0.29124099,-0.162756085,-0.252371192,-0.237211093,-0.141934156,-0.23111546,-0.226506546,-0.0416773409,-0.230401993,-0.2050488,-0.0571023226,0.0157747865,0.0166987479,-0.0488838106,-0.250812531,-0.240771338,-0.0832127333,-0.305964589,-0.272911668,-0.112186328,-0.3122769,-0.291867733,-0.164773583,-0.265023172,-0.231332913,-0.0905303359,-0.0105721354,-0.0538986325,0.125968397,-0.0221595764,-0.063726455,0.0340501815,-0.111075401,-0.152301639,0.0663014352,-0.120164275,-0.126419306,0.0402894169,-0.179945976,-0.181103364,-0.0625520051,-0.193200856,-0.202586979,-0.0209315717,-0.0410513282,-0.0717471838,0.0787271857,-0.00616632402,-0.0159894973,0.0173816532,-0.149316549,-0.173897684,0.00783680379
abused,-0.422156513,-0.38602519,-0.373174608,-0.342248499,-0.313447237,-0.335719049,-0.267408729,-0.226260632,-0.199219763,-0.289988935,-0.25629741,-0.270392239,-0.282203197,-0.261456251,-0.268998057,-0.230911493,-0.198319718,-0.193112046,-0.440333068,-0.409026742,-0.356406987,-0.416935235,-0.39633894,-0.35638684,-0.328713238,-0.287134528,-0.232231587,0.640622616,0.611440122,0.64749229,0.634985268,0.602230728,0.698150039,0.398667872,0.373048246,0.559138775,0.65334934,0.630193293,0.78646338,0.552809358,0.526125073,0.757921398,0.417086452,0.398849308,0.701572835,0.737964869,0.709968805,0.826039433,0.703962624,0.678857088,0.813231349,0.477674603,0.448223531,0.686023891
abuser,-0.614484787,-0.60653913,-0.600867927,-0.572947979,-0.565632582,-0.579269886,-0.578140199,-0.576061487,-0.547080815,-0.555572212,-0.549993515,-0.530657053,-0.545423925,-0.532745481,-0.536442816,-0.553853929,-0.548767507,-0.531866431,-0.626353621,-0.615009785,-0.600462914,-0.61503005,-0.603936315,-0.58757323,-0.598377585,-0.582487762,-0.578323483,0.333714306,0.343555003,0.246909916,0.332519203,0.319697708,0.35198909,0.180261493,0.192533135,0.212356776,0.343940139,0.348723501,0.448696285,0.28738451,0.290020376,0.480867296,0.161512733,0.162318751,0.321867198,0.38826865,0.372606874,0.412665308,0.335660756,0.324391752,0.431495011,0.139634132,0.128603294,0.226420671
abusers,-0.622564375,-0.604144335,-0.598456264,-0.592887044,-0.577205479,-0.583639026,-0.569325149,-0.554002643,-0.525505126,-0.570598304,-0.559424937,-0.520232499,-0.563879192,-0.551922083,-0.518748462,-0.561926544,-0.5523175,-0.509528339,-0.633819044,-0.611629426,-0.587139666,-0.620951653,-0.602355063,-0.576503456,-0.597619712,-0.573071897,-0.557466745,0.261353731,0.216868341,0.273912966,0.204150021,0.15671286,0.299656063,0.0838109851,0.0493912846,0.218458146,0.172902703,0.133124352,0.385243922,0.186136886,0.146409854,0.471770823,0.0490104258,0.0178805441,0.313228309,0.23106873,0.177191675,0.363827646,0.213444218,0.167145431,0.382874101,0.0514870137,0.00717322528,0.239691913
abuses,-0.312353849,-0.285506845,-0.316685677,-0.274344444,-0.259972095,-0.319890738,-0.262953222,-0.240531281,-0.264052391,-0.281275213,-0.260710657,-0.307002306,-0.301698506,-0.291363001,-0.324072897,-0.306283951,-0.285438836,-0.304495096,-0.37719512,-0.352809489,-0.357842177,-0.386639953,-0.373972893,-0.371505886,-0.353391171,-0.326729506,-0.339975595,0.381468236,0.321444184,0.379750997,0.424759179,0.366383612,0.486186326,0.349580705,0.299813718,0.475696653,0.436511308,0.375776321,0.573691368,0.507247448,0.460256428,0.697558403,0.403876096,0.363477558,0.602028847,0.433284044,0.355424643,0.594578683,0.453833729,0.387551069,0.635976493,0.31988889,0.264349908,0.563777685
abusing,-0.483634233,-0.47239095,-0.438090146,-0.457247317,-0.442146063,-0.438299298,-0.425477028,-0.412944019,-0.331699908,-0.410602152,-0.39533937,-0.327842176,-0.41696173,-0.395802915,-0.35572809,-0.401259959,-0.388059497,-0.308910966,-0.521872044,-0.507489324,-0.468846112,-0.529534459,-0.516578734,-0.492822766,-0.486668348,-0.464070082,-0.408645928,0.571914196,0.544549823,0.642795026,0.609058797,0.57143271,0.712344587,0.419894516,0.384688079,0.612492263,0.659966826,0.6254251,0.78058058,0.664542079,0.649059355,0.825811028,0.479703397,0.451283723,0.727929711,0.6580621,0.605058372,0.752972364,0.636625469,0.606097758,0.73485446,0.44554767,0.398354858,0.642712772
