response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,-8.6171875,-8.578125,-8.2265625,-8.6953125,-8.6328125,-8.0625,-8.3984375,-8.2578125,-7.6875,-8.3125,-8.3125,-7.890625,-8.546875,-8.53125,-7.95703125,-8.1796875,-8.078125,-7.6328125,-9.109375,-9.15625,-8.3828125,-9.359375,-9.4296875,-8.4375,-9.3359375,-9.421875,-8.03125,-4.99609375,-4.8515625,-4.81640625,-5.640625,-5.40625,-5.203125,-5.98046875,-5.79296875,-5.16015625,-5.515625,-5.234375,-5.078125,-5.92578125,-5.58203125,-5.5234375,-6.33984375,-6.046875,-5.4921875,-5.3515625,-5.17578125,-5.015625,-5.68359375,-5.453125,-5.13671875,-5.9765625,-5.796875,-5.3828125
abhored,-7.79296875,-7.7109375,-7.1171875,-7.9921875,-7.8984375,-7.078125,-8.1640625,-8.0390625,-7.00390625,-7.69140625,-7.6328125,-6.82421875,-7.96875,-7.87109375,-6.94921875,-8.1171875,-7.9921875,-6.96875,-8.03125,-7.96484375,-7.07421875,-8.25,-8.203125,-7.171875,-8.46875,-8.40625,-7.0625,-6.3125,-6.1953125,-5.32421875,-6.515625,-6.34765625,-5.5234375,-7.01953125,-6.890625,-5.6328125,-6.84375,-6.71484375,-5.72265625,-7.015625,-6.84375,-5.921875,-7.41796875,-7.296875,-6.0078125,-6.6875,-6.57421875,-5.63671875,-6.6875,-6.5625,-5.65234375,-7.1015625,-6.984375,-5.8515625
abhors,-8.0859375,-7.84375,-7.4140625,-8.1640625,-7.9765625,-7.30078125,-8.0703125,-7.8125,-7.046875,-7.71875,-7.5,-6.921875,-7.921875,-7.7265625,-6.9609375,-7.81640625,-7.55078125,-6.8125,-8.2890625,-8.09375,-7.46484375,-8.4140625,-8.296875,-7.48046875,-8.40625,-8.265625,-7.125,-6.6171875,-6.31640625,-6.0546875,-6.9375,-6.6484375,-6.109375,-7.33984375,-7.0859375,-6.1640625,-7.26953125,-6.96875,-6.47265625,-7.3359375,-7.03515625,-6.5078125,-7.79296875,-7.5390625,-6.609375,-6.93359375,-6.66796875,-6.17578125,-7.00390625,-6.7578125,-6.078125,-7.38671875,-7.15625,-6.3046875
abstinance,-5.953125,-5.9609375,-4.99609375,-5.51171875,-5.53515625,-4.25,-5.3515625,-5.42578125,-4.1484375,-4.9765625,-5.1875,-4.2890625,-4.85546875,-5.0546875,-3.90625,-4.5546875,-4.796875,-3.77734375,-6.28125,-6.3515625,-5.015625,-5.99609375,-6.16796875,-4.66015625,-5.59765625,-5.83984375,-4.0234375,-6.14453125,-6.046875,-5.1171875,-6.04296875,-5.95703125,-4.79296875,-6.52734375,-6.47265625,-5.0546875,-7.02734375,-6.90234375,-5.76953125,-6.85546875,-6.7265625,-5.59765625,-7.171875,-7.1171875,-5.71875,-6.55078125,-6.46875,-5.28515625,-6.34765625,-6.32421875,-5.01171875,-6.73046875,-6.71875,-5.30859375
abstinence,-6.86328125,-6.86328125,-6.03515625,-6.88671875,-6.85546875,-5.73046875,-6.14453125,-6.1015625,-5.06640625,-6.07421875,-6.17578125,-5.2890625,-6.44921875,-6.53125,-5.58984375,-5.82421875,-5.85546875,-4.93359375,-7.7734375,-7.8828125,-6.5390625,-7.90234375,-8.015625,-6.6171875,-7.2109375,-7.3125,-5.5,-6.32421875,-6.33203125,-5.5390625,-6.546875,-6.53515625,-5.58203125,-7.23046875,-7.1875,-6.1796875,-7.609375,-7.51171875,-6.390625,-7.8671875,-7.734375,-6.5703125,-8.296875,-8.2265625,-6.9453125,-6.91796875,-6.94921875,-5.74609375,-7.0546875,-7.1015625,-5.68359375,-7.50390625,-7.50390625,-6.3515625
abused,-9.1875,-9.109375,-8.7890625,-9.484375,-9.3828125,-8.7109375,-8.96875,-8.7890625,-8.171875,-8.921875,-8.921875,-8.203125,-9.171875,-9.1328125,-8.21875,-8.9140625,-8.7734375,-8.0625,-9.8359375,-9.828125,-9.109375,-9.953125,-9.90625,-9.09375,-9.921875,-9.90625,-8.7265625,-2.25976562,-2.1796875,-2.50976562,-2.77539062,-2.59765625,-2.50390625,-2.99023438,-2.84570312,-2.55664062,-3.58398438,-3.50976562,-3.07226562,-3.65234375,-3.44140625,-2.8671875,-3.76367188,-3.48046875,-3.05664062,-2.60742188,-2.62109375,-2.578125,-2.57617188,-2.41796875,-2.21484375,-2.76171875,-2.6015625,-2.48242188
abuser,-8.484375,-8.515625,-7.91796875,-8.921875,-8.875,-7.9765625,-8.6640625,-8.5703125,-7.66796875,-8.0859375,-8.15625,-7.24609375,-8.53125,-8.5546875,-7.359375,-8.5234375,-8.453125,-7.3984375,-9.1953125,-9.3125,-8.359375,-9.359375,-9.40625,-8.375,-9.5625,-9.6484375,-8.203125,-1.92285156,-1.79785156,-1.98632812,-2.32421875,-2.12890625,-1.58984375,-2.55078125,-2.37695312,-1.73046875,-3.50195312,-3.32226562,-2.71679688,-3.3828125,-3.11328125,-2.18554688,-3.70703125,-3.42382812,-2.54296875,-2.87304688,-2.78710938,-2.4296875,-2.85742188,-2.59179688,-1.93457031,-3.17773438,-2.92773438,-2.34375
abusers,-9.703125,-9.7265625,-9.1328125,-9.9296875,-9.9375,-9.1796875,-9.796875,-9.7265625,-8.9453125,-9.484375,-9.546875,-8.6796875,-9.75,-9.8125,-8.765625,-9.7890625,-9.7421875,-8.859375,-10.234375,-10.2734375,-9.4140625,-10.3828125,-10.4140625,-9.53125,-10.53125,-10.546875,-9.359375,-2.8671875,-2.96875,-2.72070312,-3.21484375,-3.21289062,-2.44140625,-3.42382812,-3.50195312,-2.50585938,-4.37109375,-4.390625,-3.49023438,-4.25390625,-4.2109375,-2.94140625,-4.515625,-4.5,-3.31640625,-3.84375,-3.98046875,-3.12890625,-3.7265625,-3.71484375,-2.63671875,-3.98242188,-4.0078125,-2.95703125
abuses,-9.5078125,-9.515625,-8.8515625,-9.8125,-9.7890625,-8.8515625,-9.4921875,-9.4296875,-8.53125,-9.3671875,-9.4140625,-8.40625,-9.7109375,-9.7421875,-8.53125,-9.4765625,-9.4296875,-8.4375,-10.125,-10.140625,-9.0390625,-10.1875,-10.1875,-9.0625,-10.203125,-10.2265625,-8.7890625,-3.17382812,-3.21484375,-3.24414062,-3.41015625,-3.390625,-2.6953125,-3.82617188,-3.86523438,-3.08007812,-4.28515625,-4.34765625,-3.91601562,-3.87304688,-3.85351562,-2.92382812,-4.484375,-4.4921875,-3.6796875,-3.83203125,-3.9765625,-3.47265625,-3.48632812,-3.515625,-2.62695312,-3.9765625,-4.05078125,-3.28515625
abusing,-9.9296875,-9.84375,-9.5078125,-10.2109375,-10.140625,-9.46875,-9.9921875,-9.84375,-9.25,-9.7109375,-9.6484375,-8.8828125,-9.9765625,-9.9296875,-8.90625,-9.8984375,-9.734375,-9.0703125,-10.3203125,-10.3203125,-9.6875,-10.4765625,-10.46875,-9.6875,-10.515625,-10.5,-9.40625,-2.89257812,-2.77539062,-3.16601562,-3.28125,-3.1015625,-2.8125,-3.8125,-3.70898438,-3.29296875,-4.26171875,-4.203125,-3.98632812,-4.046875,-3.86328125,-3.15820312,-4.66796875,-4.4921875,-3.953125,-3.56054688,-3.54882812,-3.46484375,-3.27734375,-3.11132812,-2.78125,-3.91210938,-3.78710938,-3.56445312
