response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
abhor,-7.015625,-7.140625,-6.2734375,-6.75,-6.9140625,-6.19140625,-6.53125,-6.6328125,-5.95703125,-7.15234375,-7.2890625,-6.5703125,-6.76953125,-6.92578125,-6.2265625,-6.80078125,-6.91015625,-6.15234375,-7.0703125,-7.21484375,-6.4921875,-7.01171875,-7.171875,-6.29296875,-7.21484375,-7.30078125,-6.5625,-1.61230469,-2.12109375,-2.53515625,-1.51757812,-2.1484375,-3.1328125,-2.52148438,-2.89257812,-3.125,-1.52441406,-1.68554688,-1.99902344,-1.65136719,-1.90429688,-2.71679688,-2.3984375,-2.50976562,-2.72070312,-1.80175781,-2.41796875,-2.8046875,-2.11132812,-2.75195312,-3.13085938,-2.67773438,-3.27148438,-3.15820312
abhored,-6.578125,-6.59765625,-5.9609375,-6.09765625,-6.16015625,-5.734375,-5.29296875,-5.2734375,-4.7734375,-6.703125,-6.6640625,-5.94921875,-6.19140625,-6.20703125,-5.734375,-5.60546875,-5.5,-4.67578125,-6.68359375,-6.78125,-6.06640625,-6.6015625,-6.734375,-5.9375,-6.5703125,-6.59765625,-5.796875,-2.42578125,-2.75585938,-2.93554688,-2.5625,-2.93359375,-3.51367188,-2.89453125,-3.02539062,-3.31054688,-2.37890625,-2.63085938,-2.93164062,-2.71679688,-2.93164062,-3.5625,-2.98828125,-3.03710938,-3.20117188,-2.4765625,-2.87109375,-3.22265625,-2.93164062,-3.25,-3.5625,-3.0390625,-3.28515625,-3.265625
abhors,-7.421875,-7.51953125,-6.9140625,-6.85546875,-7.01171875,-6.59375,-6.796875,-6.91796875,-6.3828125,-7.203125,-7.34375,-6.7890625,-6.7265625,-6.90625,-6.49609375,-6.8671875,-7.0390625,-6.51171875,-7.3515625,-7.515625,-6.8515625,-7.20703125,-7.40234375,-6.69140625,-7.37109375,-7.515625,-6.83984375,-6.38671875,-6.8125,-6.421875,-6.0625,-6.4609375,-6.17578125,-6.453125,-6.75390625,-6.234375,-6.21484375,-6.578125,-6.28125,-6.046875,-6.375,-6.26171875,-6.5703125,-6.796875,-6.3828125,-6.046875,-6.49609375,-6.41015625,-6.015625,-6.37890625,-6.1015625,-6.34765625,-6.6796875,-6.2578125
abstinance,-6.3359375,-6.14453125,-5.4375,-6.08984375,-5.95703125,-5.28515625,-5.66796875,-5.45703125,-4.88671875,-6.41015625,-6.30078125,-5.58203125,-5.91796875,-5.81640625,-5.18359375,-6.44921875,-6.36328125,-5.62109375,-6.1015625,-6.04296875,-5.4140625,-5.97265625,-5.92578125,-5.23828125,-5.8515625,-5.7890625,-5.125,-5.87109375,-5.88671875,-4.96484375,-5.16015625,-5.15234375,-4.68359375,-5.91796875,-5.81640625,-5.33203125,-6.36328125,-6.390625,-5.80859375,-5.76171875,-5.72265625,-5.34765625,-6.51953125,-6.42578125,-6.02734375,-5.53515625,-5.62109375,-5.08984375,-5.0546875,-5.0703125,-4.63671875,-5.734375,-5.75390625,-5.32421875
abstinence,-6.0625,-5.83203125,-5.33984375,-5.71875,-5.55078125,-5.01953125,-5.5625,-5.28515625,-4.91796875,-5.96484375,-5.8515625,-5.38671875,-5.47265625,-5.3515625,-4.76953125,-6.1328125,-6.0078125,-5.43359375,-5.59765625,-5.52734375,-5.203125,-5.515625,-5.4375,-4.80859375,-5.578125,-5.4921875,-5,-5.61328125,-5.625,-4.78515625,-4.75,-4.7734375,-4.140625,-5.62109375,-5.546875,-4.9765625,-6.16796875,-6.21484375,-5.703125,-5.49609375,-5.48828125,-5.0390625,-6.359375,-6.27734375,-5.87109375,-5.19140625,-5.26953125,-4.85546875,-4.70703125,-4.734375,-4.17578125,-5.40625,-5.41015625,-4.9609375
abused,-7.04296875,-7.1640625,-6.875,-6.453125,-6.56640625,-6.6953125,-6.6015625,-6.71875,-6.66796875,-6.40234375,-6.53515625,-6.48828125,-5.66015625,-5.76953125,-6.0078125,-6.484375,-6.66015625,-6.41015625,-7.05078125,-7.1875,-6.9140625,-6.76953125,-6.84375,-6.6796875,-7.1015625,-7.19921875,-6.9140625,-4.16796875,-4.25,-3.51367188,-3.03515625,-3.11914062,-2.78710938,-4.4921875,-4.5,-3.62890625,-4.23046875,-4.2265625,-3.875,-3.04492188,-2.96289062,-2.84570312,-4.5078125,-4.37890625,-4.0078125,-3.57617188,-3.79101562,-3.49414062,-2.87109375,-3.0390625,-2.77539062,-3.97460938,-4.1328125,-3.625
abuser,-7.47265625,-7.50390625,-7.171875,-6.8515625,-6.88671875,-6.7265625,-7.23828125,-7.2734375,-7.03125,-7.51171875,-7.56640625,-7.34375,-6.9453125,-7.0625,-6.87890625,-7.359375,-7.453125,-7.0078125,-7.53515625,-7.62890625,-7.39453125,-7.43359375,-7.546875,-7.12109375,-7.6875,-7.80078125,-7.46875,-5.03125,-5.05078125,-4.28515625,-3.66992188,-3.69140625,-3.2890625,-5.33203125,-5.3515625,-4.54296875,-5.24609375,-5.25,-5.11328125,-3.91796875,-3.73632812,-3.63476562,-5.515625,-5.46484375,-5.19140625,-5.01171875,-5.04296875,-4.66796875,-4.04296875,-3.97265625,-3.51367188,-5.265625,-5.28515625,-4.8203125
abusers,-8.7265625,-8.6640625,-8.3359375,-8.21875,-8.1796875,-7.95703125,-8.3515625,-8.3046875,-8.0859375,-8.6875,-8.625,-8.2265625,-8.203125,-8.1484375,-7.89453125,-8.421875,-8.3984375,-7.87890625,-8.609375,-8.6171875,-8.3203125,-8.4375,-8.4453125,-8.0390625,-8.6953125,-8.6875,-8.375,-5.96875,-6.125,-5.24609375,-4.92578125,-5.11328125,-4.39453125,-6.06640625,-6.15234375,-5.21875,-5.97265625,-6.12109375,-5.59765625,-4.62109375,-4.65625,-4.10546875,-6.078125,-6.1015625,-5.5390625,-5.79296875,-6.0234375,-5.28515625,-4.89453125,-5.109375,-4.17578125,-5.84375,-6.02734375,-5.23046875
abuses,-7.68359375,-7.6796875,-7.25390625,-7.22265625,-7.27734375,-7.0078125,-7.5390625,-7.58203125,-7.1953125,-7.7578125,-7.8046875,-7.30078125,-7.2734375,-7.37890625,-6.9921875,-7.61328125,-7.71875,-7,-7.6875,-7.7421875,-7.37109375,-7.55078125,-7.62109375,-7.1171875,-7.84375,-7.921875,-7.46875,-4.43359375,-4.703125,-3.79882812,-3.39257812,-3.75585938,-3.0078125,-4.8203125,-5.03515625,-4.01171875,-4.3125,-4.5546875,-3.93554688,-3.0703125,-3.28710938,-2.66015625,-4.484375,-4.625,-3.94726562,-4.28515625,-4.66796875,-3.94726562,-3.5,-3.8984375,-2.97265625,-4.82421875,-5.16015625,-4.17578125
abusing,-8.5859375,-8.515625,-8.2578125,-8.3359375,-8.3046875,-8.1328125,-8.453125,-8.40625,-8.2109375,-8.546875,-8.5,-8.203125,-8.21875,-8.21875,-8.03125,-8.4296875,-8.40625,-7.94140625,-8.609375,-8.59375,-8.34375,-8.4609375,-8.5,-8.1796875,-8.625,-8.6328125,-8.3203125,-4.64453125,-4.93359375,-4.140625,-3.41015625,-3.70703125,-3.296875,-5.02734375,-5.1796875,-4.25390625,-4.37109375,-4.5703125,-4.05078125,-3.08398438,-3.24023438,-2.83789062,-4.8046875,-4.875,-4.15234375,-4.73046875,-5.0859375,-4.3359375,-3.83398438,-4.16015625,-3.3125,-5.3359375,-5.5625,-4.56640625
ache,-5.21875,-4.9609375,-4.1875,-4.84765625,-4.6171875,-4.19921875,-4.85546875,-4.55859375,-3.95117188,-5.1953125,-5.03515625,-4.3046875,-4.73828125,-4.5703125,-4.328125,-5.2109375,-5.03125,-4.14453125,-5.62109375,-5.5234375,-4.640625,-5.5234375,-5.41796875,-4.66015625,-5.80078125,-5.64453125,-4.81640625,-3.7578125,-3.88671875,-2.671875,-2.94335938,-2.86914062,-2.0625,-3.859375,-3.66601562,-2.84179688,-4.0703125,-4.09375,-3.08398438,-3.5078125,-3.265625,-2.28515625,-4.28515625,-4.03515625,-3.2109375,-3.63476562,-3.88867188,-2.90039062,-3.23242188,-3.32226562,-2.0390625,-3.78515625,-3.8359375,-2.6328125
