response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,-0.00759333372,-0.0216193199,0.115104318,0.0743186474,0.0816219449,0.168262869,-0.0250390172,-0.0438634753,0.0767655373,-0.0520623922,-0.0596891046,0.0523035526,0.0509998798,0.0509518385,0.183379918,-0.0910437107,-0.0984222889,0.0394122005,-0.06262815,-0.0747364759,0.0805789828,-0.111525238,-0.110273406,0.121912628,-0.146867692,-0.144983426,-0.0198681951,-0.103068054,-0.126075566,-0.127973914,-0.125711262,-0.152449727,-0.165899917,-0.0837878585,-0.104231238,-0.0874108672,-0.146488845,-0.145872235,-0.135082304,-0.185839832,-0.182346091,-0.194813877,-0.119310617,-0.129303694,-0.125213742,-0.151852846,-0.150173247,-0.118720531,-0.147331595,-0.14891538,-0.189030483,-0.153563976,-0.162192866,-0.0958522111
affection,1.06222737,1.04516733,1.04984844,1.19035029,1.19180131,1.18328643,0.932538271,0.872426152,0.940776587,1.01048625,0.959687114,0.99343586,1.11348939,1.09556139,1.07903183,0.790019691,0.708186269,0.95434016,1.19598198,1.19807577,1.17796659,1.18863273,1.18583798,1.23989463,1.11508477,1.11306477,1.17052722,-0.203253925,-0.207009554,-0.175501645,-0.172322989,-0.177014172,-0.203965172,-0.237611532,-0.217153907,-0.192275658,-0.260780931,-0.249192059,-0.2370224,-0.272476554,-0.260110557,-0.257457733,-0.29352355,-0.28524065,-0.23977226,-0.22857523,-0.213232219,-0.163969517,-0.154152453,-0.11486657,-0.171332732,-0.255023539,-0.231156781,-0.184190392
affinity,0.45190993,0.47623837,0.407317668,0.729710758,0.754331708,0.624346137,0.484462291,0.472205937,0.453640819,0.5225209,0.51960361,0.418216944,0.665101111,0.655887604,0.562989235,0.437127441,0.411035329,0.473145962,0.54882443,0.599778533,0.518981755,0.682270885,0.714249134,0.699942827,0.573639691,0.610075355,0.60140729,-0.145572662,-0.18075788,-0.139636517,-0.0435746908,-0.0937436819,-0.099850893,-0.199393272,-0.235727966,-0.133315846,-0.247107744,-0.24689281,-0.241746426,-0.183306694,-0.20156762,-0.211024195,-0.276939869,-0.296496123,-0.235309824,-0.225525558,-0.22652179,-0.185684204,-0.110029161,-0.111848354,-0.164925322,-0.259196222,-0.274227321,-0.193960741
aid,-0.0779426098,-0.122743607,0.136293769,0.102184057,0.00142502785,0.339490086,-0.160398781,-0.190647721,-0.05689542,-0.0274683833,-0.0925076008,0.174597144,0.209357083,0.0792892575,0.350642174,-0.182169259,-0.210838735,-0.0331825167,0.230103254,0.157613397,0.466997325,0.42968443,0.311576962,0.690899253,0.0212164521,-0.0343704075,0.219350785,-0.192886293,-0.197045088,-0.172484457,-0.154919922,-0.167349041,-0.176676869,-0.23601824,-0.237683117,-0.21809189,-0.248351932,-0.24637872,-0.199022114,-0.209016442,-0.221784994,-0.213999197,-0.268229067,-0.276328921,-0.272022605,-0.256959498,-0.255748034,-0.236948133,-0.189329565,-0.198328748,-0.240217075,-0.2736063,-0.277515322,-0.283720672
allegiant,0.135814369,0.158748746,0.230183125,0.198341072,0.204474807,0.259452641,0.165625036,0.236809492,0.187745363,0.242966235,0.269702971,0.336870551,0.35865131,0.389964044,0.378614664,0.234083116,0.277479708,0.33314383,0.202075601,0.234863609,0.317353964,0.22164163,0.254144937,0.34927088,0.230464607,0.321323872,0.248523027,0.0418549776,-0.0968744159,0.179099917,0.0182068944,-0.065615356,0.127382278,0.125292182,0.0253018737,0.225527406,-0.0262150764,-0.14995718,0.120090961,-0.0266557932,-0.0945501477,0.0918106288,0.0793281198,-0.0351081043,0.171246618,-0.0497905016,-0.160116553,0.133387744,-0.0451282859,-0.102490008,0.0744393021,0.047044158,-0.0597237945,0.194200337
alliance,-0.02099967,-0.0326894522,0.0164383054,0.141028464,0.0956056714,0.139538556,0.0349109769,-0.012727797,0.073709026,0.117508352,0.095135808,0.103916824,0.384796232,0.34211421,0.211852998,0.0897324085,0.0420517325,0.159479499,0.076294601,0.0838657022,0.0851756334,0.130478263,0.100592881,0.18420966,0.100593448,0.100092277,0.142758131,-0.0139753222,-0.0705550909,-0.00183832645,0.0711403489,0.0177955627,0.034268707,-0.0292753577,-0.083553493,0.0275200605,-0.115974188,-0.133994281,-0.0793851614,-0.0875537395,-0.105332747,-0.0905895829,-0.132982671,-0.162015557,-0.104632333,-0.00818234682,-0.0205622911,0.0319144726,0.0965205431,0.0983350575,0.0246413946,-0.0356735587,-0.0596532077,0.0286898464
alliances,-0.315403879,-0.312304497,-0.240370929,-0.23784548,-0.234777927,-0.187927067,-0.284046292,-0.300075352,-0.222615391,-0.23707366,-0.236167371,-0.191959083,-0.180144548,-0.1714046,-0.162870169,-0.263384283,-0.275150836,-0.189025596,-0.276397765,-0.267753303,-0.212117672,-0.251591861,-0.252663612,-0.16738674,-0.280212522,-0.271321863,-0.21131061,-0.108247936,-0.134681404,-0.0838654041,-0.125941217,-0.137484014,-0.114418209,-0.144772887,-0.173021555,-0.0776607096,-0.228439331,-0.229844272,-0.139306128,-0.239007294,-0.231169954,-0.179433525,-0.242425621,-0.253073156,-0.174929231,-0.156781733,-0.159534574,-0.0959197879,-0.122748137,-0.105566099,-0.113758147,-0.182997942,-0.197283283,-0.100963801
allies,0.0240907669,0.00254184008,-0.000762939453,0.0459569097,0.0331216455,0.0198528916,-0.15779978,-0.190955818,-0.118229687,-0.0622854829,-0.0766675472,-0.0849991441,-0.0167651772,-0.0280640125,-0.050256744,-0.212012053,-0.226994872,-0.149199724,0.0965464115,0.084877491,0.0606784821,0.049020648,0.0294677615,0.0865920335,-0.11365658,-0.131275579,-0.0849467069,-0.231143534,-0.238607764,-0.212686956,-0.193020463,-0.198174119,-0.229347125,-0.278914809,-0.289263785,-0.241503909,-0.306344867,-0.288994372,-0.257419109,-0.295480609,-0.278289706,-0.305642188,-0.342526197,-0.340542316,-0.318537593,-0.245479941,-0.221265852,-0.208749115,-0.195036829,-0.167084813,-0.241033107,-0.288365304,-0.279259205,-0.25582248
ally,-0.16763252,-0.161431253,-0.13901037,-0.183816195,-0.180432737,-0.159379706,-0.261394024,-0.252992988,-0.227832496,-0.223711073,-0.216453493,-0.182672381,-0.222975433,-0.220551789,-0.201040283,-0.286014736,-0.27950263,-0.227558523,-0.197561562,-0.1768471,-0.127324581,-0.2286762,-0.222145602,-0.138503686,-0.300820172,-0.286818981,-0.247817889,-0.195283651,-0.2234689,-0.153214693,-0.164537907,-0.208832085,-0.131826326,-0.269177198,-0.285899937,-0.20974943,-0.211817801,-0.231572151,-0.194359422,-0.206723213,-0.235410377,-0.199439526,-0.268868446,-0.283184588,-0.253960371,-0.236551642,-0.26246351,-0.197720528,-0.199524403,-0.232305065,-0.189064279,-0.287021875,-0.301644146,-0.251423061
altruism,0.547562361,0.60368073,0.679101586,0.906175911,0.931364775,0.954315901,0.875078022,0.897249103,0.898414969,0.836872578,0.866872013,0.846477926,1.20586097,1.21468616,1.10089421,0.922217727,0.918994308,0.931725383,0.836732209,0.888644993,0.978554249,0.945481539,0.981304705,1.08606112,1.00062311,1.05644882,1.07887578,-0.34937501,-0.346051216,-0.326953888,-0.300959945,-0.293830931,-0.32008028,-0.377302051,-0.371837437,-0.325863898,-0.393559515,-0.378630519,-0.338593423,-0.374056995,-0.355739236,-0.353720725,-0.400347531,-0.386989236,-0.342129111,-0.38252598,-0.372068822,-0.352990329,-0.332597196,-0.310397625,-0.345567882,-0.38931185,-0.376756966,-0.349074364
