response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,-2.0078125,-1.71875,-2.46679688,-2.609375,-2.2734375,-2.45898438,-2.7265625,-2.60546875,-2.73242188,-1.42871094,-1.20898438,-1.83789062,-2.54296875,-2.33203125,-2.50976562,-2.37695312,-2.29101562,-2.578125,-3.07226562,-2.93945312,-2.796875,-3.69921875,-3.55273438,-3.18554688,-2.97460938,-2.90625,-2.18164062,-6.16015625,-5.99609375,-5.86328125,-5.72265625,-5.60546875,-5.72265625,-6.57421875,-6.42578125,-6.23046875,-8.140625,-7.796875,-7.265625,-7.87109375,-7.58203125,-6.95703125,-8.6796875,-8.4375,-7.44140625,-6.9453125,-6.671875,-6.3515625,-6.53515625,-6.37109375,-6.06640625,-7.3671875,-7.109375,-6.703125
affection,0.222412109,0.506835938,-0.223876953,0.208862305,0.623535156,0.467529297,-0.515136719,-0.296630859,-0.0938720703,-0.0374755859,0.0689697266,-0.282958984,-0.395263672,-0.0578613281,-0.202514648,-0.6875,-0.532226562,-0.441894531,-0.106445312,0.245239258,0.149047852,0.203857422,0.7109375,0.911132812,-0.392089844,0.0759277344,0.66796875,-7.29296875,-7.0859375,-6.70703125,-7.390625,-7.14453125,-6.67578125,-8.0703125,-7.87109375,-7.07421875,-8.453125,-8.2265625,-7.5546875,-8.453125,-8.203125,-7.4453125,-8.921875,-8.75,-7.8203125,-7.4609375,-7.234375,-6.60546875,-7.54296875,-7.328125,-6.5703125,-8.015625,-7.80078125,-7.046875
affinity,-3.8125,-3.2734375,-3.78515625,-3.32226562,-2.68164062,-3.18164062,-3.99609375,-3.53515625,-3.60351562,-3.76757812,-3.40234375,-3.60742188,-3.4765625,-2.97265625,-3.40039062,-4.078125,-3.6796875,-3.765625,-4.73046875,-4.3515625,-3.94921875,-4.24609375,-3.80273438,-3.43945312,-4.62109375,-4.203125,-3.30273438,-7.81640625,-7.47265625,-7.52734375,-7.8359375,-7.4921875,-7.40625,-8.2734375,-7.9609375,-7.58203125,-9.1640625,-8.8828125,-8.21875,-9.0546875,-8.78125,-8.0625,-9.4765625,-9.28125,-8.2734375,-8.2109375,-7.82421875,-7.53515625,-8.1796875,-7.87109375,-7.4609375,-8.5546875,-8.25,-7.78125
aid,-5.1875,-4.96484375,-4.23828125,-3.80664062,-3.27148438,-3.14648438,-4.90625,-4.38671875,-4.1953125,-5.1875,-4.88671875,-4.71484375,-4.39453125,-3.875,-4.1640625,-5.74609375,-5.23046875,-5.3203125,-4.890625,-4.296875,-3.57617188,-3.32617188,-2.73828125,-2.734375,-3.38085938,-2.515625,-1.91015625,-7.921875,-7.59375,-7.23828125,-7.5234375,-7.296875,-7.0390625,-8.1640625,-7.9375,-7.328125,-9.1171875,-8.765625,-8.1171875,-8.734375,-8.390625,-7.77734375,-9.234375,-8.90625,-8.0859375,-8.3359375,-8.078125,-7.49609375,-7.80859375,-7.6484375,-7.1875,-8.4453125,-8.2265625,-7.53125
allegiant,-5.57421875,-4.859375,-5.87109375,-5.9140625,-5.25390625,-5.875,-6.50390625,-5.96875,-6.05859375,-5.08984375,-4.5078125,-5.2109375,-5.40625,-4.8125,-5.3359375,-5.95703125,-5.4296875,-5.62890625,-5.7265625,-5.0625,-5.61328125,-5.67578125,-5.0546875,-5.5859375,-6.28125,-5.65234375,-5.79296875,-6.1171875,-5.73828125,-5.703125,-6.74609375,-6.3125,-5.984375,-6.515625,-6.08984375,-5.640625,-7.4609375,-7.0234375,-6.3984375,-7.9296875,-7.48828125,-6.76171875,-7.8125,-7.34765625,-6.65234375,-7.01171875,-6.55859375,-6.12890625,-7.43359375,-7.01171875,-6.38671875,-7.30859375,-6.81640625,-6.15234375
alliance,-5.30078125,-4.8828125,-5.45703125,-5.375,-5.0234375,-5.203125,-5.4453125,-5.14453125,-5.07421875,-4.734375,-4.4453125,-4.83203125,-5.328125,-5.08203125,-5.18359375,-5.26171875,-5.00390625,-5.04296875,-5.8515625,-5.30859375,-5.2890625,-5.92578125,-5.53515625,-5.4140625,-5.4765625,-4.9453125,-4.3359375,-7.34375,-6.9765625,-7.3125,-7.41796875,-7.1328125,-6.875,-7.5703125,-7.265625,-6.859375,-8.6875,-8.265625,-8.09375,-8.640625,-8.3125,-7.828125,-8.7421875,-8.4140625,-7.69921875,-7.48828125,-7.15625,-7.09375,-7.5703125,-7.35546875,-6.8359375,-7.65234375,-7.3671875,-6.84375
alliances,-6.23046875,-5.96484375,-6.3671875,-6.29296875,-6.06640625,-6.16015625,-6.76171875,-6.64453125,-6.546875,-5.9609375,-5.80078125,-5.9375,-6.3203125,-6.21875,-6.20703125,-6.59765625,-6.5,-6.53515625,-6.71484375,-6.39453125,-6.2578125,-6.71484375,-6.49609375,-6.25390625,-6.6875,-6.41015625,-5.91015625,-6.48828125,-6.18359375,-6.46875,-6.625,-6.375,-6.16796875,-6.58984375,-6.36328125,-6.26953125,-8.0078125,-7.67578125,-7.30078125,-7.91796875,-7.6328125,-6.9921875,-7.9765625,-7.71875,-7.078125,-6.79296875,-6.48046875,-6.41796875,-6.8515625,-6.65625,-6.140625,-6.8125,-6.57421875,-6.23828125
allies,-4.875,-4.40234375,-4.984375,-5.48046875,-5.11328125,-5.1640625,-6.40234375,-6.17578125,-6.0703125,-4.953125,-4.734375,-4.8359375,-5.53125,-5.33984375,-5.21875,-6.515625,-6.3828125,-6.16796875,-5.8046875,-5.27734375,-5.01171875,-6,-5.5859375,-5.25390625,-6.71875,-6.31640625,-5.5078125,-7.984375,-7.671875,-7.5703125,-8.0078125,-7.73046875,-7.48828125,-8.1171875,-7.8359375,-7.4375,-9.03125,-8.671875,-8.25,-8.9296875,-8.59375,-8.1796875,-8.953125,-8.625,-8,-8.3046875,-7.96875,-7.69921875,-8.2578125,-8,-7.609375,-8.296875,-8.03125,-7.51171875
ally,-5.15234375,-4.66796875,-5.0625,-5.61328125,-5.10546875,-5.21875,-5.8671875,-5.4921875,-5.3671875,-5.3984375,-5.03515625,-5.17578125,-5.67578125,-5.3046875,-5.2890625,-6.1328125,-5.8203125,-5.63671875,-5.734375,-5.09765625,-5.14453125,-5.92578125,-5.3046875,-5.2421875,-6.078125,-5.4765625,-5.11328125,-7.46484375,-7.00390625,-7.3359375,-7.375,-6.96484375,-7.234375,-8.0625,-7.65234375,-7.46875,-8.8671875,-8.5078125,-8.03125,-8.6171875,-8.2734375,-7.875,-9.1484375,-8.8203125,-8.0546875,-8.0859375,-7.71484375,-7.58203125,-7.83984375,-7.5234375,-7.328125,-8.34375,-8.0234375,-7.63671875
altruism,-0.333496094,0.101623535,-0.616699219,-0.212158203,0.309326172,-0.163696289,-0.0891113281,0.293212891,0.309814453,0.309082031,0.620117188,0.190063477,-0.203735352,0.293457031,-0.126220703,0.114746094,0.432373047,0.391113281,-0.464111328,0.0439147949,-0.114257812,0.19140625,0.795898438,0.56640625,0.319335938,0.833496094,0.998046875,-6.8671875,-6.65234375,-6.140625,-7.03515625,-6.8359375,-6.203125,-7.40625,-7.24609375,-6.484375,-7.8203125,-7.47265625,-6.765625,-7.84765625,-7.51171875,-6.77734375,-8.1328125,-7.86328125,-7.0390625,-6.96875,-6.76953125,-5.86328125,-7.01171875,-6.8828125,-5.890625,-7.30859375,-7.17578125,-6.2265625
