response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,-8.0625,-8.125,-7.21875,-8.3125,-8.375,-7.78125,-8.0625,-8.3125,-7.375,-8.3125,-8.5625,-7.625,-8.75,-8.6875,-8.25,-8.5,-8.5,-7.875,-8.75,-8.625,-8.125,-8.875,-8.875,-8.8125,-8.625,-8.6875,-8.5625,-10.0625,-10.125,-9.1875,-10,-10.125,-9.125,-10.125,-10.125,-9.3125,-10.9375,-10.9375,-10.375,-10.75,-10.8125,-10.375,-10.5625,-10.5625,-10.25,-10.375,-10.3125,-9.6875,-9.9375,-10,-9.5,-10.0625,-10.125,-9.6875
affection,-4.5,-4.65625,-4.25,-4.21875,-4.25,-4.0625,-4.90625,-4.8125,-4.375,-5.15625,-5.21875,-4.6875,-4.90625,-5,-4.6875,-5.53125,-5.625,-4.96875,-4.8125,-4.78125,-4.75,-4.375,-4.53125,-4.5625,-5,-4.875,-4.875,-10.5,-10.5,-9.5625,-10.5625,-10.5625,-9.75,-10.6875,-10.6875,-9.875,-11.375,-11.375,-10.75,-11.4375,-11.3125,-10.9375,-11.3125,-11.375,-11,-10.625,-10.625,-10,-10.3125,-10.375,-9.6875,-10.5625,-10.6875,-10.1875
affinity,-7.6875,-7.46875,-7.125,-7.375,-7.25,-7,-7.8125,-7.6875,-7.15625,-7.96875,-8,-7.46875,-7.875,-8.0625,-7.625,-8.3125,-8.375,-7.75,-8.0625,-7.875,-8,-7.90625,-7.6875,-8.0625,-8.25,-8.0625,-8.4375,-10.625,-10.6875,-9.625,-10.625,-10.625,-9.6875,-10.8125,-10.75,-9.9375,-11.875,-11.6875,-11.0625,-11.6875,-11.625,-11.125,-11.6875,-11.6875,-11.0625,-11.125,-11.1875,-10.3125,-10.75,-10.75,-10.0625,-11.0625,-11.3125,-10.4375
aid,-8.6875,-8.8125,-7.59375,-8.5,-8.5625,-7.59375,-8.8125,-8.75,-7.6875,-8.875,-8.875,-7.71875,-8.5625,-8.6875,-7.5,-8.875,-8.875,-7.75,-7.71875,-7.8125,-6.5625,-7.1875,-7.40625,-6.8125,-7.59375,-7.6875,-6.96875,-9.75,-9.875,-8.4375,-9.75,-9.8125,-8.6875,-9.9375,-10.125,-8.5625,-10.5625,-10.6875,-9.3125,-10.5,-10.5625,-9.5625,-10.3125,-10.5625,-9.5,-10.0625,-10.25,-9.0625,-9.625,-9.9375,-8.8125,-9.875,-10.125,-9.0625
allegiant,-9.0625,-9.0625,-8.3125,-9.25,-9.4375,-8.875,-9,-9.0625,-8.5625,-9.3125,-9.375,-8.625,-9.8125,-9.75,-9.375,-9.375,-9.5,-9.0625,-9.375,-9.3125,-9.1875,-9.75,-9.875,-9.625,-9.5625,-9.625,-9.3125,-9.625,-9.875,-8.6875,-9.8125,-9.875,-9.125,-9.5625,-9.5625,-8.8125,-10.625,-10.5625,-10,-10.8125,-10.75,-10.25,-10.5,-10.6875,-9.8125,-10.3125,-10.25,-9.5625,-10,-10.1875,-9.625,-10.125,-10.1875,-9.625
alliance,-9.125,-8.875,-8.3125,-8.9375,-9.0625,-8.5625,-8.9375,-9,-8.0625,-9.125,-9.125,-8.4375,-9.0625,-9.1875,-8.75,-9.3125,-9.375,-8.5,-9.1875,-9.1875,-8.8125,-9.3125,-9.375,-9.25,-8.9375,-9.0625,-8.75,-10.3125,-10.375,-9.25,-10.3125,-10.3125,-9.4375,-10.125,-10.1875,-9.3125,-11.125,-10.9375,-10.5,-11.25,-11.0625,-10.625,-10.8125,-10.8125,-10.25,-10.6875,-10.5625,-9.9375,-10.3125,-10.1875,-9.75,-10.375,-10.25,-9.8125
alliances,-10.125,-10.1875,-9.3125,-10.375,-10.5,-9.9375,-10.1875,-10.25,-9.625,-10.4375,-10.4375,-9.75,-10.6875,-10.6875,-10.3125,-10.625,-10.6875,-10,-10.3125,-10.375,-10.125,-10.6875,-10.625,-10.75,-10.25,-10.4375,-10.125,-10.3125,-10.4375,-9.625,-10.5625,-10.6875,-10,-10.375,-10.375,-9.75,-11.125,-10.875,-10.5,-11.25,-11.125,-11,-10.8125,-10.6875,-10.4375,-10.6875,-10.625,-10.3125,-10.625,-10.5,-10.0625,-10.5625,-10.5625,-10
allies,-8.9375,-8.875,-8.3125,-8.625,-8.8125,-8.1875,-9.125,-9.25,-8.4375,-9.3125,-9.375,-8.5,-9.125,-9.4375,-8.625,-9.4375,-9.625,-8.8125,-9,-9,-8.6875,-8.625,-8.8125,-8.75,-9.0625,-9.25,-8.75,-11,-11.125,-10.1875,-11,-11.125,-10.1875,-11,-11,-10.25,-11.6875,-11.625,-11.0625,-11.5,-11.4375,-11,-11.5,-11.5625,-10.9375,-11.25,-11.125,-10.6875,-10.6875,-10.8125,-10.3125,-10.8125,-10.875,-10.4375
ally,-8.4375,-8.4375,-7.25,-8.5,-8.5625,-7.6875,-8.5625,-8.6875,-7.46875,-8.625,-8.6875,-7.625,-8.6875,-8.75,-7.9375,-8.6875,-8.8125,-7.90625,-8.4375,-8.5625,-7.6875,-8.5,-8.5625,-8.0625,-8.4375,-8.5,-7.78125,-10.0625,-10.125,-8.75,-9.875,-10,-8.875,-10.125,-10.1875,-8.875,-10.75,-10.8125,-9.8125,-10.5625,-10.625,-9.9375,-10.5625,-10.5625,-9.6875,-10.5,-10.375,-9.4375,-10.0625,-10.0625,-9.1875,-10.25,-10.375,-9.3125
altruism,-6.75,-6.65625,-5.75,-6.6875,-6.625,-6.0625,-6.4375,-6.46875,-5.625,-6.375,-6.46875,-5.75,-6.625,-6.5,-6,-6.53125,-6.71875,-5.6875,-6.09375,-6,-5.3125,-5.75,-5.71875,-5.4375,-5.71875,-5.6875,-5.125,-10.75,-10.9375,-9.8125,-10.875,-10.875,-10,-11,-11.125,-10.125,-11.8125,-11.75,-10.9375,-11.9375,-11.75,-10.875,-11.75,-11.625,-10.8125,-11.1875,-11.1875,-10.4375,-10.9375,-11,-10,-11.1875,-11.25,-10.25
