response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,-12.375,-12.4375,-10.375,-12.4375,-12.25,-9.875,-13.375,-13.4375,-11.4375,-13.25,-13.375,-11,-12.8125,-12.5625,-10.125,-14.1875,-14.25,-11.4375,-13.4375,-13.5,-10.9375,-14.375,-14.3125,-10.9375,-15.0625,-15.25,-12.0625,-18.375,-18.625,-15.8125,-19,-19.375,-17,-17.875,-18.375,-15.25,-19.625,-20,-17.375,-20.875,-21,-18.5,-19.875,-20,-17.5,-19.125,-19.375,-16.625,-19.375,-19.375,-17.5,-18.875,-19.25,-16.125
affection,-6.84375,-6.53125,-7.125,-3.609375,-2.96875,-3.84375,-8.375,-8,-8.4375,-7.78125,-7.59375,-7.90625,-4.59375,-4.21875,-5.03125,-9.1875,-9.1875,-7.28125,-4.9375,-4.46875,-4.90625,-3.9375,-3.421875,-2.734375,-6.34375,-6.0625,-4.8125,-20.5,-20.125,-18.875,-20.75,-20.125,-19.25,-19.875,-19.75,-18.25,-21.125,-20.875,-19.625,-21.875,-21.375,-20.25,-21.5,-21,-19.625,-20.625,-20.125,-18.75,-20.375,-19.875,-19,-20.5,-20,-18.625
affinity,-11.375,-11.125,-11,-9.3125,-9,-9.0625,-11.4375,-11.4375,-11.375,-11.5625,-11.75,-11.5,-9.75,-9.4375,-9.6875,-11.75,-11.875,-10.5625,-10.375,-10.1875,-10,-9.125,-8.875,-8.0625,-10.5625,-10.5,-9.25,-19.25,-19.625,-17.125,-18.875,-19.25,-17.25,-18.75,-19.25,-16.5,-20.125,-20.25,-18.5,-20.25,-20.375,-18.5,-20.375,-20.75,-18.375,-19.875,-19.75,-17.75,-19.125,-19.25,-17.5,-19.75,-20,-17.5
aid,-14.5,-14.5,-13.25,-13.625,-13.5,-11.75,-15.875,-15.9375,-14.5625,-15.0625,-15.1875,-14.125,-13.875,-14.125,-12.3125,-16.5,-16.625,-14.625,-12.875,-12.3125,-11.3125,-11.375,-11.25,-8.9375,-14.5,-14.5,-12.5625,-18.625,-18.75,-17.125,-19.375,-19.25,-17.875,-19,-19.125,-17.25,-19.625,-19.625,-18.125,-20.625,-20.5,-19.25,-20,-20.125,-18.625,-19.875,-19.75,-18,-19.625,-19.5,-18.625,-20.125,-20.125,-18.25
allegiant,-14.5625,-14.25,-13.1875,-13.8125,-13.8125,-12.75,-14.1875,-13.75,-13.3125,-13.4375,-13.4375,-11.75,-12.5,-12.5,-10.9375,-13.0625,-13,-11.0625,-14.5625,-14.5,-12.625,-14.375,-14.25,-12.1875,-14.625,-14.1875,-12.5625,-15.5625,-15.6875,-12.5625,-15.8125,-15.875,-13.1875,-15.4375,-15.3125,-12.25,-15.8125,-16.25,-13.5625,-16.75,-16.875,-14.1875,-15.9375,-15.8125,-13.5625,-16,-16.25,-13.5,-16.25,-16.375,-14,-16,-15.875,-13.1875
alliance,-14.3125,-14.25,-12.875,-14.0625,-14.0625,-12.5,-14.5625,-14.625,-13.0625,-14.375,-14.3125,-13,-13.125,-13,-11.875,-14.6875,-14.75,-12.3125,-14.625,-14.375,-12.6875,-14.4375,-14.3125,-11.875,-15.3125,-15.25,-12.375,-17.125,-17.25,-14.375,-17.25,-17.25,-14.9375,-16.25,-16.75,-13.4375,-17.875,-17.875,-15.625,-18.875,-18.625,-16.375,-18.125,-18.25,-15.1875,-16.875,-16.5,-14.5,-17.125,-17,-15.375,-17,-16.875,-13.875
alliances,-17.625,-17.5,-15.9375,-17.875,-17.875,-16,-18,-18.25,-16.625,-18.125,-18.125,-16.75,-18.25,-18.125,-16.625,-18.625,-18.875,-16.75,-18.375,-18.375,-16.25,-18.75,-18.75,-16.25,-19.125,-19.25,-16.625,-17.875,-17.625,-15.3125,-18.625,-18.5,-16,-17.5,-17.75,-14.6875,-18.875,-18.625,-16.5,-20.25,-20,-17.25,-19.25,-19.25,-16.125,-17.875,-17.5,-15.5,-18.375,-18.25,-16,-18,-18,-15.0625
allies,-14.0625,-13.8125,-13.4375,-14.5625,-14.4375,-13.625,-15.9375,-16,-15.125,-15.75,-15.8125,-15,-15.5625,-15.5,-14.5,-17.375,-17.5,-15.625,-14.625,-14.3125,-13.3125,-15.25,-15.3125,-13.25,-16.625,-16.625,-14.5,-19.75,-19.625,-17,-20.25,-20,-17.75,-19.75,-19.875,-16.875,-20.125,-20,-17.625,-21,-20.875,-18.625,-20.75,-20.75,-17.875,-19.875,-19.375,-17.375,-19.875,-19.75,-18,-20.375,-20.125,-17.375
ally,-13.3125,-13.125,-12.75,-13.8125,-13.6875,-12.875,-16,-16,-14.6875,-15.25,-15.5,-14.125,-15.0625,-14.9375,-13.9375,-17,-17.125,-15.0625,-13.5,-13.125,-12.125,-14.0625,-13.8125,-11.875,-16.25,-16.375,-14.1875,-17.75,-17.75,-14.875,-17.5,-17.75,-14.75,-17.875,-18.125,-15.25,-18,-17.875,-16,-18.625,-18.625,-16.125,-19,-19.25,-16.75,-18,-17.75,-15.8125,-17.25,-17.375,-15.3125,-18.375,-18.625,-16.125
altruism,-10.8125,-10.25,-9.0625,-8.375,-7.875,-6.46875,-8.75,-8.25,-7.3125,-9.6875,-9.1875,-8.8125,-6.90625,-6.34375,-6.3125,-9,-8.5625,-7.5625,-8.5625,-7.9375,-6.75,-7.625,-6.8125,-4.90625,-8.125,-7.15625,-5.96875,-22.75,-22.625,-20.375,-23,-23,-21.25,-23,-23.125,-20.75,-23.5,-23.375,-21.125,-24.5,-24.25,-22,-24.25,-24.125,-21.5,-22.875,-22.75,-20.875,-23,-23,-21.25,-23.25,-23.25,-21.125
ambition,-13.375,-13.4375,-11.25,-13.125,-13.375,-10.6875,-13.4375,-13.5625,-10.75,-12.1875,-12.0625,-10.0625,-11.75,-11.8125,-9.3125,-12.625,-12.9375,-9.6875,-15.3125,-15.6875,-11.9375,-16.5,-16.875,-12.1875,-16.75,-17.125,-12.3125,-17.5,-17.5,-13.9375,-17.5,-17.375,-14.375,-16.125,-16.25,-12.9375,-17.75,-17.875,-14.5625,-18.625,-18.375,-15.125,-17.5,-17.5,-14,-16.375,-16.125,-13.5,-16.375,-16.25,-13.75,-15.75,-15.5,-12.3125
ambitions,-15.8125,-15.8125,-14.3125,-15.75,-15.9375,-13.375,-15.375,-15.5625,-13.4375,-15.0625,-15.1875,-12.8125,-14.4375,-14.5625,-11.625,-15.0625,-15.25,-12.625,-17.25,-17.5,-14.625,-17.75,-17.75,-13.875,-18,-18.125,-14.5,-18.125,-18.125,-15.375,-18.25,-18.25,-15.5,-17.75,-17.875,-14.625,-18.875,-18.625,-16.125,-19.375,-19.375,-16.25,-18.875,-18.75,-15.75,-18.25,-18,-15.6875,-17.875,-17.75,-15.375,-18.125,-17.875,-14.875
amigo,-13,-12.6875,-12.5625,-14.25,-13.875,-13.125,-15.3125,-15,-14.0625,-14.6875,-14.8125,-14.25,-14.9375,-14.9375,-14.375,-16,-16.125,-14.5,-13.8125,-13.4375,-12.8125,-14.75,-14.5625,-13.4375,-15.9375,-15.875,-14.5,-18.625,-18.75,-17.25,-19.375,-19.5,-17.875,-18.75,-18.875,-17,-19.375,-19.375,-18.375,-20.375,-20.375,-19,-19.875,-20,-18.625,-19.5,-19.5,-18.125,-19.625,-19.75,-18.5,-19.75,-19.75,-18
amigos,-13.3125,-13.3125,-12.5,-14.375,-14.4375,-13,-15.4375,-15.625,-14.3125,-15,-15.1875,-14.625,-15.375,-15.5625,-14.625,-16.375,-16.625,-14.9375,-14.4375,-14.375,-12.9375,-15.375,-15.3125,-12.9375,-16.75,-16.875,-14.375,-19.25,-19.5,-17.875,-20.375,-20.5,-18.625,-19.25,-19.5,-17.375,-19.875,-20.125,-19,-21.125,-21.125,-19.5,-20.375,-20.5,-18.875,-19.875,-19.875,-18.375,-20.375,-20.5,-18.75,-19.875,-20.125,-17.875
aptitude,-13.9375,-14,-12.4375,-13.8125,-13.9375,-12.4375,-13.75,-14,-12.5,-13.875,-14.1875,-12.5,-13.5,-13.625,-12.25,-14,-14.25,-12.125,-15.125,-15.1875,-13.0625,-15.375,-15.5,-13.3125,-15.25,-15.4375,-12.9375,-16.875,-17.125,-14.5,-17.625,-17.875,-15.5625,-16.75,-17.25,-14.375,-18.25,-18.5,-16.625,-19.25,-19.375,-17.25,-18.625,-19,-16.75,-18.125,-18.25,-16,-18.375,-18.5,-16.625,-18.25,-18.625,-15.875
buddies,-12.375,-12.1875,-12,-13.125,-13,-11.8125,-15,-15.1875,-14.1875,-14.3125,-14.5,-14.0625,-13.875,-14.125,-13.1875,-16.25,-16.375,-14.5625,-12.625,-12.5625,-11.9375,-13.9375,-14,-11.5625,-15.3125,-15.5,-13.375,-20.375,-20.375,-19,-21.25,-21.25,-19.625,-20.375,-20.375,-18.5,-21.25,-21.25,-20.375,-22.125,-22.125,-20.625,-21.625,-21.75,-20.125,-20.75,-20.625,-19.25,-21,-20.875,-19.5,-20.75,-20.875,-18.875
buddy,-14.1875,-13.625,-13.4375,-15.625,-15,-14.25,-16.375,-16.125,-15.8125,-16,-15.8125,-15.375,-16.75,-16.5,-15.875,-17.5,-17.5,-16.25,-14.75,-14.1875,-13.6875,-16.375,-15.8125,-14.625,-17.375,-17.125,-15.9375,-19.5,-19.375,-18.125,-20.75,-20.75,-19.375,-19.5,-19.625,-18,-20.25,-20.375,-19.625,-21.625,-21.75,-20.5,-20.75,-20.75,-19.875,-20.375,-20.25,-19.125,-20.875,-20.875,-19.875,-20.375,-20.375,-18.875
capability,-12.125,-12.25,-9.9375,-11.875,-11.625,-9.1875,-12.5,-12.3125,-10.3125,-11.5625,-11.375,-9.3125,-11.25,-10.8125,-8.5625,-11.875,-11.75,-8.875,-13.0625,-13.0625,-10.4375,-13.5,-13.4375,-10.25,-14,-14.125,-10.6875,-18.125,-18.375,-15.3125,-17.5,-17.625,-15.375,-17.75,-18,-14.875,-19.125,-19.375,-17.125,-19.125,-19.125,-16.875,-19.5,-19.75,-16.875,-18.375,-18.375,-16,-17.125,-17.25,-15.25,-18.125,-18.375,-15.5
