response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,2.43164062,2.39111328,2.67480469,2.20874071,2.22900438,2.41137695,2.40124559,2.42150927,2.58361816,2.21887207,2.19860888,2.50256348,2.01623583,2.11755419,2.11755371,2.20874071,2.21887255,2.38098145,2.07702661,2.10742235,2.23913574,1.96557665,1.96557665,1.93518066,2.10742235,2.13781786,2.09729004,1.7832036,1.80346727,2.06689453,1.71228087,1.75280869,2.02636719,1.83386326,1.83386326,2.0871582,1.59069848,1.66162157,1.88452148,1.45898461,1.48938024,1.76293945,1.79333532,1.77307177,1.92504883,1.67175364,1.69201791,2.09729004,1.5906992,1.67175436,1.97570801,1.81359994,1.91491902,2.17834473
affection,3.97167969,3.95141625,3.97167969,3.97168016,4.05273438,3.93115234,3.89062548,3.93115282,3.97167969,3.78930664,3.78930712,3.87036133,3.66772509,3.74877977,3.68798828,3.5866704,3.64746141,3.82983398,3.85009789,3.85009813,3.85009766,3.78930712,3.89062548,3.78930664,3.76904345,3.85009813,3.80957031,1.68188524,1.6413579,2.03649902,1.51977599,1.49951267,1.78320312,1.56030357,1.57043552,1.93518066,1.45898461,1.4488529,1.79333496,1.24621606,1.3374027,1.60083008,1.37793005,1.39819384,1.72241211,1.59069884,1.69201779,1.98583984,1.54004002,1.62109506,2.01623535,1.60083127,1.661623,1.97570801
affinity,2.83691406,2.87744164,2.99902344,2.89770555,3.01928759,2.97875977,2.7963872,2.89770555,2.95849609,2.6950686,2.7963872,2.81665039,2.65454149,2.63427782,2.71533203,2.59375048,2.56335497,2.67480469,2.71533251,2.73559618,2.61401367,2.67480516,2.81665087,2.49243164,2.65454149,2.71533251,2.39111328,1.70214891,1.70214903,2.04663086,1.68188548,1.65149045,2.00610352,1.64135838,1.68188584,1.99597168,1.42858911,1.50964403,1.87438965,1.44885278,1.59069872,1.76293945,1.48938024,1.54003954,1.82373047,1.59069896,1.59069967,1.97570801,1.671754,1.70214999,1.9453125,1.6312269,1.58056843,1.92504883
aid,2.14794922,2.15808129,2.58361816,2.1783452,2.25939989,2.57348633,2.22900438,2.1783452,2.56335449,2.07702637,2.16821337,2.46203613,2.16821337,2.16821337,2.57348633,2.11755419,2.07702684,2.4822998,2.61401415,2.67480516,2.93823242,2.75585985,2.7963872,2.87744141,2.65454149,2.67480516,2.85717773,1.69201708,1.73254442,2.25939941,1.61096263,1.61096311,2.07702637,1.67175388,1.62109482,2.24926758,1.50964379,1.57043505,2.02636719,1.31713891,1.33740282,1.76293945,1.49951208,1.56030321,2.00610352,1.51977611,1.57043588,2.14794922,1.51977646,1.51977694,1.99597168,1.69201803,1.60083222,2.11755371
allegiant,1.51977563,1.47924829,1.8034668,1.35766637,1.25634813,1.4083252,1.63122594,1.6413579,1.76293945,1.38806176,1.38806188,1.64135742,1.08917284,1.17022753,1.2411499,1.41845751,1.44885302,1.51977539,1.25128198,1.36779833,1.4387207,1.10437059,1.19555736,1.20062256,1.30700731,1.34753489,1.41845703,1.46911669,1.42858934,1.8338623,1.34753489,1.3374033,1.61096191,1.55017161,1.58056736,1.73254395,1.28167748,1.31713915,1.66162109,1.15502965,1.26647985,1.4387207,1.40832567,1.36779845,1.62109375,1.24115062,1.37793088,1.66162109,1.34753513,1.27661276,1.44885254,1.43872201,1.44885409,1.65148926
alliance,1.94531274,2.03649926,2.18847656,1.88452184,1.88452196,2.15808105,2.0364995,1.97570837,2.3404541,1.92504907,1.92504919,2.20874023,1.80346727,1.79333544,1.85412598,1.7832036,1.85412645,2.10742188,1.91491723,1.96557665,2.02636719,1.77307177,1.84399462,1.76293945,2.01623583,2.01623583,2.0567627,1.54003954,1.46911669,1.86425781,1.33740294,1.33740342,1.67175293,1.45898533,1.479249,1.91491699,1.2006228,1.29687548,1.61096191,1.11956811,1.2462163,1.45898438,1.42858922,1.46911669,1.73254395,1.27661204,1.32727194,1.71228027,1.23101926,1.3677994,1.6920166,1.42859006,1.50964558,1.77307129
alliances,1.34753442,1.36779809,1.70214844,1.18542516,1.11450255,1.296875,1.27154577,1.29687536,1.48937988,1.20568871,1.21075475,1.45898438,1.03344762,0.952393115,1.16516113,1.08917284,1.0993048,1.32727051,1.17022729,1.16516149,1.26647949,0.977722585,1.02331603,1.07904053,1.16009581,1.11450279,1.22088623,1.29687536,1.21075487,1.64135742,0.997986436,1.12970054,1.46911621,1.24115062,1.23608506,1.60083008,1.13476586,1.16516161,1.49951172,1.003052,1.00811803,1.20062256,1.29180944,1.37793028,1.48937988,1.1297003,1.15503037,1.46911621,1.1448983,1.18036008,1.38806152,1.20062363,1.2360853,1.5501709
allies,1.76293969,1.90478539,2.04663086,1.7933352,1.85412645,1.98583984,1.68188512,1.66162157,1.92504883,1.48938012,1.51977563,1.8034668,1.55017126,1.51977587,1.76293945,1.39819384,1.30700731,1.56030273,1.71228051,1.74267626,1.79333496,1.76293993,1.75280833,1.75280762,1.51977587,1.55017161,1.66162109,0.699097037,0.668701589,1.06890869,0.694031358,0.70922935,1.05371094,0.800415754,0.846009314,1.07904053,0.688965142,0.81561327,1.05371094,0.628174186,0.734558463,0.901733398,0.76495409,0.861206591,0.982788086,0.678833604,0.704163671,1.06384277,0.678833961,0.724427581,1.01318359,0.815613985,0.921998501,1.11450195
ally,2.28979516,2.34045434,2.59375,2.1783452,2.18847704,2.33032227,2.09729052,2.11755419,2.4822998,2.06689477,2.11755419,2.44177246,2.06689501,1.95544493,2.15808105,2.05676317,2.05676317,2.22900391,2.35058641,2.27966356,2.35058594,2.23913622,2.20874071,2.11755371,2.21887279,2.26953173,2.25939941,1.5299077,1.56030321,2.10742188,1.44885325,1.45898557,1.9453125,1.49951267,1.4691174,2.01623535,1.43872094,1.40832567,1.8338623,1.3374027,1.388062,1.66162109,1.4488529,1.50964403,1.84399414,1.44885325,1.41845858,1.90478516,1.39819455,1.50964522,1.8034668,1.4285903,1.4184593,1.87438965
altruism,3.03955078,3.08007836,3.32324219,2.95849657,3.01928759,3.03955078,3.20166063,3.0800786,3.36376953,3.05981469,3.12060595,3.30297852,2.9382329,2.91796947,2.97875977,3.0800786,2.99902391,3.18139648,3.2219243,3.28271532,3.46508789,3.14086962,3.26245189,3.16113281,3.4448247,3.42456126,3.46508789,1.39819372,1.28167784,1.64135742,1.29180968,1.32727146,1.61096191,1.41845787,1.38806283,1.68188477,1.25634789,1.34753454,1.70214844,1.1448977,1.1448977,1.47924805,1.34753454,1.48938036,1.64135742,1.29687572,1.36779904,1.66162109,1.27661228,1.22595394,1.59069824,1.36779881,1.43872213,1.74267578
