response,best_ever_one,best_ever_single,best_ever_please,best_world_one,best_world_single,best_world_please,best_time_one,best_time_single,best_time_please,greatest_ever_one,greatest_ever_single,greatest_ever_please,greatest_world_one,greatest_world_single,greatest_world_please,greatest_time_one,greatest_time_single,greatest_time_please,good_ever_one,good_ever_single,good_ever_please,good_world_one,good_world_single,good_world_please,good_time_one,good_time_single,good_time_please,worst_ever_one,worst_ever_single,worst_ever_please,worst_world_one,worst_world_single,worst_world_please,worst_time_one,worst_time_single,worst_time_please,bad_ever_one,bad_ever_single,bad_ever_please,bad_world_one,bad_world_single,bad_world_please,bad_time_one,bad_time_single,bad_time_please,terrible_ever_one,terrible_ever_single,terrible_ever_please,terrible_world_one,terrible_world_single,terrible_world_please,terrible_time_one,terrible_time_single,terrible_time_please
accuracy,22.9749413,21.3115959,22.5310421,22.8885689,20.4306297,23.8018837,22.0255699,20.5119553,21.5358086,22.7151375,21.635685,21.939003,23.1314087,21.3609257,24.2944756,20.620615,19.142704,21.4411697,20.5875893,17.6805725,21.4689465,18.7895622,15.2417068,21.9669666,19.1722965,16.3236198,20.9110603,18.3798599,16.0933609,16.5093422,17.9444199,15.3398075,16.1430149,19.2435951,17.4167442,17.2095604,18.0153751,17.2437973,15.8736353,17.7389641,16.8816872,15.7956429,18.9305191,17.8378658,16.553627,18.6889458,16.2784233,17.1177673,17.3051147,13.6655006,16.4801292,18.6261139,16.2711182,17.9289417
affection,33.8106232,32.8907394,30.6334572,35.0259094,33.1049042,33.5781746,31.7405853,31.0370674,29.0319519,32.816658,32.0560341,30.2001057,36.3764191,34.5552864,32.8105431,29.5782909,28.3677139,30.689167,34.3103371,32.5226822,32.3455696,34.1684341,31.4293327,34.0516891,32.4156418,30.7968998,32.1787949,15.5229559,13.856617,14.6764803,15.987834,14.348381,14.8482952,14.9389572,13.9358082,14.119772,15.1456423,14.9568567,13.7637444,15.2686377,15.1520195,14.2019653,14.4429426,14.0219498,13.3120556,15.5693426,13.825634,14.8564377,16.1870461,13.9595547,15.9320669,14.8344307,13.4244022,14.7901649
affinity,24.7446098,23.8850403,22.828392,27.58424,25.7471581,26.5810528,24.7177238,23.9033127,22.9274559,25.720768,25.1995564,23.30653,28.6047287,26.8057156,26.4345093,23.6334915,22.5862675,24.0527382,24.7308674,23.247757,24.1888371,25.9294205,23.4443684,26.8877487,24.6334648,23.1123409,25.3787842,16.356926,14.3893223,15.4907522,17.4648342,15.0789585,16.2459869,15.9063568,14.2374735,15.5339222,15.3547382,14.9994841,13.6961088,16.1569633,15.4546986,14.6448994,14.9414225,14.1382332,13.9108047,15.58535,13.5570288,14.7448368,16.3954716,13.2871428,16.1453209,14.8302679,12.6918144,14.9282665
aid,20.3428745,18.8226891,21.3241901,23.7552071,20.6706371,26.2304268,18.3016319,16.6893311,18.2417774,22.0339394,20.6978912,22.2786484,26.7192402,24.0104313,26.8165932,17.1109352,15.6137276,18.6733818,23.71772,21.3555813,25.7959919,24.5264893,21.1158085,28.130888,20.7976112,18.4325466,22.9152145,14.2307692,12.6058054,13.8329277,13.9504967,12.1168137,13.7342815,13.0439548,11.9066935,12.9346619,13.1900339,12.7733965,12.5415688,13.0262861,12.5986147,12.4119072,12.7547779,12.2067652,11.8548632,13.5346489,11.6312742,13.1233635,12.4227676,9.49304771,13.3087692,12.8747978,11.1542988,12.8374901
allegiant,19.1644783,18.5018768,19.3959999,20.0160484,17.8112335,20.5636616,18.8559933,18.8135223,18.6149349,21.0979481,20.7338104,21.3597126,22.3239231,21.2470627,22.5821152,19.5878334,19.1919575,20.7778969,18.8594284,17.3532753,19.9543781,18.6271858,15.9291668,20.8343792,18.4904976,17.6469097,19.6224461,17.2091103,14.6453438,18.145813,17.2138329,14.1819973,18.1829376,17.430685,15.894968,18.3934479,16.807888,15.1274738,16.5931931,16.852047,15.3081837,16.9136276,17.379385,16.082428,16.8958988,16.1164646,13.1094341,16.9818726,14.7960434,11.3169384,17.297514,16.3086872,13.8640976,17.5815201
alliance,19.9255219,18.6984138,19.2062683,21.0649414,18.4626312,21.3334007,19.9569473,18.6561584,19.980381,21.4969788,20.6499748,20.4453697,25.9310684,24.1119194,23.05373,20.0126534,18.6275349,21.3627701,19.5145721,17.5386124,20.0835056,19.661129,16.52421,21.821701,19.1833305,17.4138088,21.1904316,17.375103,15.3416214,16.8787422,18.2027454,16.1519985,17.6331215,17.2915859,15.6325331,17.7213173,16.2256241,15.7224369,15.4588861,16.5907192,16.0385132,15.7061405,15.9721375,15.14396,15.7789888,17.3671265,15.5620737,17.0244179,17.5896111,15.0629358,17.4701023,17.0852623,15.3262148,17.9733353
alliances,16.5839787,15.3482943,16.4516888,15.8622665,13.4826899,16.7887993,16.216526,14.867734,16.4244385,17.0488338,16.2156734,16.3373146,17.0364132,15.4024057,16.5220699,15.4906025,14.0983505,16.4920902,14.9365587,12.7333155,16.1313705,13.6564732,10.4660454,16.3356686,14.2430344,12.1438141,16.5006046,16.3524399,14.6357718,16.0113869,15.6819983,13.842104,15.8399143,15.6582384,14.2487555,16.5820656,14.9647331,14.5274115,14.6456881,14.6858702,14.2166195,14.7133617,14.4817038,13.7438736,14.9954548,15.7478914,13.8814545,15.9251766,14.775444,12.0661955,16.353651,15.2936611,13.4217272,16.8901863
allies,20.4625683,18.9849911,19.0403996,19.4224072,16.8416119,19.3031864,17.8393764,16.2456417,17.8072853,18.9706039,17.8924637,17.8917046,18.8614845,16.8848171,18.3741646,15.7750912,14.3597908,16.9193039,19.2859631,17.0656509,19.3985901,17.2597694,13.9133234,19.4219227,16.6265526,14.2830334,18.116663,15.0624142,13.3555317,14.6515713,15.7129498,13.7589598,14.9614544,14.2589302,13.0333462,14.7582798,14.6061239,14.3043795,13.8325672,14.7091265,14.3031778,13.5681696,13.9790821,13.4027157,13.6123285,14.7327576,13.0589752,14.4988213,14.1939402,11.5296707,14.7141552,13.7254753,12.1662788,14.6597166
ally,19.0766544,17.9687843,18.2010841,17.2041054,14.8637838,17.90522,16.3935413,15.0379477,16.1449203,17.8793869,16.9415092,17.3330803,16.4302807,14.7476616,17.0914536,15.3999557,14.067956,15.9529905,18.1790905,16.1482277,18.6448364,15.6182022,12.3607502,18.2402496,14.4690647,11.963747,15.9497194,16.2519569,14.1055527,15.9938974,16.2372017,13.5615101,16.7921276,14.5724287,12.8165531,15.1959448,16.0073929,15.0162077,14.994175,16.001688,14.7527351,15.5238991,14.6678448,13.5220079,14.2019987,15.7791557,13.2397842,15.5002422,15.0147781,11.3131771,16.3372536,14.1966953,11.9121752,14.684515
altruism,24.6417198,23.9861259,25.4705009,28.1377125,26.1634846,29.9961319,28.0428066,27.783083,28.711834,27.8635368,27.6749039,27.4586468,33.7735138,32.2035141,31.7499676,27.9447365,27.2791576,29.0341644,26.4298401,24.7504425,29.0444412,26.6028442,23.7533493,30.8767471,27.7573452,26.614378,30.7114868,14.5829582,12.6360226,13.463994,14.6367388,12.4272575,13.5885372,13.8219891,12.3165369,13.6810894,13.572998,13.042037,12.4799843,13.5664263,13.0620775,12.7725086,13.3527679,12.6773129,12.8202324,13.7538853,11.6354027,13.0917339,13.0246258,9.88738823,13.5796041,12.9291439,10.9825993,13.3916874
